Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
5d5.(6S).6p,7P*,4,,70560.93,,0.22,  87                                :    11  5d5.(4P).6p         5D*  ,L20381
5d5.(2H).6s,1H,5,,60064.09,,0.19,  73                                :     8  5d5.(2I).6s         3I   ,L20381
5d5.6p,73443*,2,,73443.16,,0.11,  13  5d5.(6S).6p 5P*               :    12  5d5.(6S).6p         7P*  ,L20381
5d5.6p,74171*,3,,74171.84,,0.12,  33  5d5.(6S).6p 7P*               :    27  5d5.(6S).6p         5P*  ,L20381
5d5.(6S).6p,5P*,1,,74933.05,,0.13,  63                                :    13  5d5.(4P).6p         5P*  ,L20381
5d5.(6S).6p,5P*,2,,75474.02,,0.16,  45                                :     8  5d5.(4G).6p         5G*  ,L20381
5d5.6p,76620*,3,,76620.91,,0.11,  20  5d5.(4G).6p 5H*               :    18  5d5.(6S).6p         5P*  ,L20381
5d5.6p,79104*,2,,79104.54,,0.14,  30  5d5.(4D).6p 5F*               :    22  5d5.(4P).6p         5D*  ,L20381
5d5.6p,79161*,1,,79161.38,,0.17,  34  5d5.(4P).6p 5D*               :    19  5d5.(4D).6p         5F*  ,L20381
5d5.6p,79532*,4,,79532.25,,0.12,  33  5d5.(4G).6p 5H*               :    22  5d5.(4G).6p         5G*  ,L20381
5d5.(4P).6p,5D*,0,,79939.2,,0.3,  53                                :    20  5d5.(4D).6p         5D*  ,L20381
5d5.6p,80017*,3,,80017.62,,0.09,  29  5d5.(4G).6p 5G*               :    17  5d5.(4G).6p         3F*  ,L20381
5d5.6p,80620*,2,,80620.07,,0.11,  24  5d5.(4G).6p 5G*               :    13  5d5.(4P).6p         5S*  ,L20381
5d5.6p,80888*,5,,80888.73,,0.14,  34  5d5.(4G).6p 5G*               :    26  5d5.(4G).6p         5H*  ,L20381
5d5.(4G).6p,5G*,6,,81206.61,,0.13,  30                                :    26  5d5.(4G).6p         3H*  ,L20381
