Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
3d4(3D)4s,b 2D,5/2,42 897.9553,0.0011,,,,,,,,,L18847
,,3/2,42 986.5955,0.0013,,,,,,,,,L18847
,,,,,,,,,,,,,
3d5,b 2S,1/2,44 307.077,0.003,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(a 1D)4s,c 2D,3/2,45 669.3981,0.0013,,,,,,,,,L18847
,,5/2,45 730.5908,0.0010,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(5D)4p,z 6F°,1/2,46 823.3062,0.0007,-0.689,100,,,,,,,"L18847,L7185"
,,3/2,46 905.1373,0.0006,1.124,100,,,,,,,"L18847,L7185"
,,5/2,47 040.2755,0.0006,1.314,100,,,,,,,"L18847,L7185"
,,7/2,47 227.2186,0.0006,1.378,100,,,,,,,"L18847,L7185"
,,9/2,47 464.5570,0.0006,1.416,100,,,,,,,"L18847,L7185"
,,11/2,47 751.6003,0.0006,,100,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d5,d 2D,5/2,47 354.366,0.002,,,,,,,,,L18847
,,3/2,47 372.435,0.003,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(5D)4p,z 6P°,3/2,48 398.8721,0.0007,2.382,83,,,,,,,"L18847,L7185"
,,5/2,48 491.0569,0.0007,1.875,98,,,,,,,"L18847,L7185"
,,7/2,48 632.0590,0.0007,1.710,100,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d4(5D)4p,z 4P°,1/2,48 749.2779,0.0007,2.844,67,,,,31,3d4(5D)4p,6D°,"L18847,L7185"
,,3/2,49 005.8471,0.0007,1.802,55,,,,42,3d4(5D)4p,6D°,"L18847,L7185"
,,5/2,49 706.2607,0.0007,1.624,71,,,,27,3d4(5D)4p,6D°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(5D)4p,z 6D°,5/2,49 351.7336,0.0007,1.628,73,,,,26,3d4(5D)4p,4P°,"L18847,L7185"
,,1/2,49 492.7111,0.0007,3.155,69,,,,31,3d4(5D)4p,4P°,"L18847,L7185"
,,3/2,49 564.5038,0.0007,1.824,58,,,,41,3d4(5D)4p,4P°,"L18847,L7185"
,,7/2,49 645.8058,0.0007,1.577,99,,,,,,,"L18847,L7185"
,,9/2,49 838.3799,0.0007,1.570,98,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d4(1F)4s,d 2F,7/2,50 667.2252,0.0010,,,,,,,,,L18847
,,5/2,50 687.6217,0.0010,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(5D)4p,z 4F°,3/2,51 584.1004,0.0008,0.406,97,,,,,,,"L18847,L7185"
,,5/2,51 669.4060,0.0008,1.025,97,,,,,,,"L18847,L7185"
,,7/2,51 788.8149,0.0008,1.248,96,,,,,,,"L18847,L7185"
,,9/2,51 942.6640,0.0008,1.338,96,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d5,d 2G,7/2,52 297.7730,0.0014,,,,,,,,,L18847
,,9/2,52 320.978,0.003,,,,,,,,,L18847
,,,,,,,,,,,,,
3d34s2,c 4F,3/2,53 051.334,0.004,,,,,,,,,L18847
,,5/2,53 271.007,0.003,,,,,,,,,L18847
,,7/2,53 566.2511,0.0017,,,,,,,,,L18847
