Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
,,1,89 491.77,0.09,98,,,,,,,L11223
,,,,,,,,,,,,
3d5(a 2G)4s,3G,3,89 697.74,0.09,90,,,,7,3d5(4F)4s,3F,L11223
,,4,89 783.78,0.09,76,,,,12,3d5(4F)4s,3F,L11223
,,5,89 908.09,0.09,83,,,,14,3d5(2H)4s,3H,L11223
,,,,,,,,,,,,
3d5(4F)4s,3F,2,90 423.78,0.09,97,,,,,,,L11223
,,4,90 472.61,0.09,84,,,,12,3d5(a 2G)4s,3G,L11223
,,3,90 484.18,0.09,92,,,,7,3d5(2G)4s,3G,L11223
,,,,,,,,,,,,
3d5(2H)4s,1H,5,92 523.93,0.09,98,,,,,,,L11223
,,,,,,,,,,,,
3d5(b 2F)4s,3F,4,93 388.77,0.09,60,,,,39,3d5(a 2G)4s,1G,L11223
,,3,93 392.55,0.09,99,,,,,,,L11223
,,2,93 413.07,0.09,98,,,,,,,L11223
,,,,,,,,,,,,
3d5(a 2G)4s,1G,4,93 512.71,0.09,57,,,,38,3d5(b 2F)4s,3F,L11223
,,,,,,,,,,,,
3d5(b 2F)4s,1F,3,97 041.49,0.09,98,,,,,,,L11223
,,,,,,,,,,,,
3d5(2S)4s,3S,1,98 662.78,0.10,100,,,,,,,L11223
,,,,,,,,,,,,
3d5(2S)4s,1S,0,102 410.35,0.15,100,,,,,,,L11223
,,,,,,,,,,,,
3d5(b 2D)4s,3D,1,105 895.34,0.09,100,,,,,,,L11223
,,2,105 906.27,0.09,100,,,,,,,L11223
,,3,105 929.25,0.09,99,,,,,,,L11223
,,,,,,,,,,,,
3d5(b 2D)4s,1D,2,109 570.98,0.09,100,,,,,,,L11223
,,,,,,,,,,,,
3d5(4G)4p,5G°,2,113 584.31,0.09,96,,,,,,,L11223
,,3,113 605.74,0.09,91,,,,6,3d5(4G)4p,5H°,L11223
,,4,113 635.56,0.09,88,,,,9,3d5(4G)4p,5H°,L11223
,,5,113 677.29,0.10,87,,,,10,3d5(4G)4p,5H°,L11223
,,6,113 739.99,0.11,90,,,,7,3d5(4G)4p,5H°,L11223
,,,,,,,,,,,,
3d5(b 2G)4s,3G,5,114 325.49,0.09,100,,,,,,,L11223
,,4,114 340.26,0.09,100,,,,,,,L11223
,,3,114 352.21,0.09,100,,,,,,,L11223
,,,,,,,,,,,,
3d5(4G)4p,5H°,3,114 948.83,0.10,93,,,,6,3d5(4G)4p,5G°,L11223
,,4,115 111.37,0.10,90,,,,9,3d5(4G)4p,5G°,L11223
,,5,115 290.31,0.11,89,,,,10,3d5(4G)4p,5G°,L11223
,,6,115 474.52,0.12,91,,,,8,3d5(4G)4p,5G°,L11223
,,7,115 642.70,0.14,100,,,,,,,L11223
,,,,,,,,,,,,
3d5(4G)4p,5F°,5,116 316.85,0.10,90,,,,,,,L11223
,,4,116 467.59,0.10,82,,,,7,3d5(4D)4p,5F°,L11223
,,3,116 475.56,0.09,59,,,,19,3d5(4P)4p,5D°,L11223
,,2,116 898.44,0.10,53,,,,32,3d5(4P)4p,5D°,L11223
,,1,116 937.86,0.10,73,,,,15,3d5(4P)4p,5D°,L11223
,,,,,,,,,,,,
3d5(4P)4p,5D°,0,116 365.03,0.12,80,,,,19,3d5(4D)4p,5D°,L11223
,,1,116 380.24,0.10,63,,,,15,3d5(4D)4p,5D°,L11223
,,2,116 419.72,0.10,41,,,,34,3d5(4G)4p,5F°,L11223
,,3,117 068.82,0.10,50,,,,29,3d5(4G)4p,5F°,L11223
,,4,117 521.99,0.10,75,,,,14,3d5(4D)4p,5D°,L11223
,,,,,,,,,,,,
3d5(4P)4p,5S°,2,116 975.21,0.09,91,,,,,,,L11223
,,,,,,,,,,,,
3d5(b 2G)4s,1G,4,117 950.17,0.09,100,,,,,,,L11223
,,,,,,,,,,,,
3d5(4G)4p,3F°,2,118 163.70,0.09,90,,,,,,,L11223
,,4,118 350.42,0.09,91,,,,,,,L11223
,,3,118 443.27,0.09,66,,,,17,3d5(4P)4p,5P°,L11223
,,,,,,,,,,,,
3d5(4P)4p,5P°,3,118 246.74,0.09,45,,,,24,3d5(4G)4p,3F°,L11223
,,2,118 721.77,0.10,69,,,,19,3d5(4D)4p,5P°,L11223
,,1,118 868.04,0.10,78,,,,14,3d5(4D)4p,5P°,L11223
,,,,,,,,,,,,
3d5(4G)4p,3H°,6,118 355.20,0.10,96,,,,,,,L11223
,,5,118 557.32,0.09,97,,,,,,,L11223
,,4,118 686.41,0.09,97,,,,,,,L11223
,,,,,,,,,,,,
3d5(4P)4p,3P°,2,119 697.69,0.10,65,,,,18,3d5(4D)4p,3P°,L11223
,,1,119 982.34,0.10,70,,,,18,3d5(4D)4p,3P°,L11223
,,0,120 180.06,0.15,75,,,,18,3d5(4D)4p,3P°,L11223
,,,,,,,,,,,,
3d5(4D)4p,5F°,1,120 697.39,0.11,85,,,,11,3d5(4G)4p,5F°,L11223
,,2,120 826.34,0.10,84,,,,9,3d5(4G)4p,5F°,L11223
,,3,121 008.91,0.10,84,,,,8,3d5(4G)4p,5F°,L11223
,,4,121 241.90,0.10,87,,,,7,3d5(4G)4p,5F°,L11223
,,5,121 469.06,0.10,92,,,,6,3d5(4G)4p,5F°,L11223
,,,,,,,,,,,,
3d5(4G)4p,3G°,3,121 919.84,0.10,94,,,,,,,L11223
,,4,121 941.47,0.09,95,,,,,,,L11223
,,5,121 949.78,0.09,95,,,,,,,L11223
,,,,,,,,,,,,
3d5(4P)4p,3D°,3,122 346.75,0.10,46,,,,35,3d5(4D)4p,5D°,L11223
,,2,122 898.90,0.10,47,,,,18,3d5(4D)4p,5D°,L11223
