Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
,,2,167 002.36,0.15,93,,,,,,,L11223
,,,,,,,,,,,,
3d5(b 2G)4p,3G°,3,167 085.60,0.12,51,,,,45,3d5(b 2G)4p,3F°,L11223
,,4,167 207.35,0.12,83,,,,11,3d5(b 2G)4p,3F°,L11223
,,5,167 298.80,0.11,88,,,,8,3d5(b 2G)4p,3H°,L11223
,,,,,,,,,,,,
3d5(6S)5p,5P°,3,168 329.83,0.09,,,,,,,,L7185
,,2,168 421.15,0.09,,,,,,,,L7185
,,1,168 477.52,0.09,,,,,,,,L7185
,,,,,,,,,,,,
3d5(b 2G)4p,1H°,5,168 779.84,0.11,94,,,,,,,L11223
,,,,,,,,,,,,
3d5(b 2G)4p,1G°,4,169 277.63,0.13,95,,,,,,,L11223
,,,,,,,,,,,,
3d5(b 2G)4p,1F°,3,170 310.03,0.11,84,,,,8,3d5(b 2D)4p,1F°,L11223
,,,,,,,,,,,,
3d5(2P)4p,3P°,0,178 655.54,0.18,77,,,,19,3d5(c 2D)4p,3P°,L11223
,,1,178 826.15,0.15,76,,,,19,3d5(c 2D)4p,3P°,L11223
,,2,179 261.36,0.17,76,,,,20,3d5(c 2D)4p,3P°,L11223
,,,,,,,,,,,,
3d5(4G)4d,5H,3,179 178.77,0.11,,,,,,,,L7185
,,4,179 194.36,0.10,,,,,,,,L7185
,,5,179 207.70,0.10,,,,,,,,L7185
,,6,179 216.64,0.10,,,,,,,,L7185
,,7,179 221.64,0.11,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)4d,5F,5,179 579.99,0.10,,,,,,,,L7185
,,4,179 630.93,0.10,,,,,,,,L7185
,,3,179 661.59,0.10,,,,,,,,L7185
,,2,179 677.03,0.11,,,,,,,,L7185
,,1,179 683.08,0.11,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)4d,5G,6,179 725.49,0.10,,,,,,,,L7185
,,5,179 748.43,0.11,,,,,,,,L7185
,,4,179 758.10,0.10,,,,,,,,L7185
,,2,179 759.64,0.11,,,,,,,,L7185
,,3,179 760.82,0.10,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)4d,5I,4,179 876.87,0.13,,,,,,,,L7185
,,8,179 889.27,0.13,,,,,,,,L7185
,,5,179 893.68,0.10,,,,,,,,L7185
,,6,179 904.71,0.11,,,,,,,,L7185
,,7,179 904.77,0.11,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)5s,5G,6,181 772.79,0.10,,,,,,,,L7185
,,5,181 808.80,0.10,,,,,,,,L7185
,,4,181 825.81,0.10,,,,,,,,L7185
,,2,181 828.80,0.11,,,,,,,,L7185
,,3,181 830.16,0.10,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4P)4d,5F,5,182 379.99,0.11,,,,,,,,L7185
,,4,182 412.80,0.12,,,,,,,,L7185
,,3,182 444.83,0.11,,,,,,,,L7185
,,2,182 480.78,0.12,,,,,,,,L7185
,,1,182 486.51,0.13,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)4d,3F,2,182 392.68,0.11,,,,,,,,L7185
,,3,182 409.07,0.11,,,,,,,,L7185
,,4,182 418.80,0.11,,,,,,,,L7185
,,,,,,,,,,,,
3d5(2P)4p,3D°,1,182 671.50,0.16,93,,,,,,,L11223
,,2,182 685.29,0.16,67,,,,21,3d5(2P)4p,1D°,L11223
,,3,183 356.24,0.18,92,,,,6,3d5(c 2D)4p,3D°,L11223
,,,,,,,,,,,,
3d5(4G)4d,3I,5,182 810.78,0.11,,,,,,,,L7185
,,6,182 830.90,0.14,,,,,,,,L7185
,,7,182 852.21,0.13,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)5s,3G,5,183 431.43,0.11,,,,,,,,L7185
,,3,183 456.79,0.10,,,,,,,,L7185
,,4,183 457.30,0.10,,,,,,,,L7185
,,,,,,,,,,,,
3d5(2P)4p,1D°,2,183 723.99,0.15,59,,,,25,3d5(2P)4p,3D°,L11223
,,,,,,,,,,,,
3d5(6S)4f,7F°,1,184 181.5,0.3,,,,,,,,L7185
,,2,184 247.31,0.24,,,,,,,,L7185
,,3,184 316.8,0.3,,,,,,,,L7185
,,4,184 374.8,0.3,,,,,,,,L7185
,,5,184 417.6,0.3,,,,,,,,L7185
,,6,184 447.7,0.3,,,,,,,,L7185
,,,,,,,,,,,,
3d5(6S)4f,5F°,1,184 777.41,0.20,,,,,,,,L7185
,,2,184 777.9,0.3,,,,,,,,L7185
,,3,184 778.69,0.24,,,,,,,,L7185
,,4,184 779.6,0.3,,,,,,,,L7185
,,5,184 781.00,0.24,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4P)5s,5P,3,184 951.76,0.09,,,,,,,,L7185
,,2,185 003.52,0.10,,,,,,,,L7185
,,1,185 061.51,0.10,,,,,,,,L7185
,,,,,,,,,,,,
3d5(2P)4p,3S°,1,185 113.14,0.18,97,,,,,,,L11223
,,,,,,,,,,,,
3d5(4D)4d,5G,2,186 268.85,0.20,,,,,,,,L7185
,,3,186 303.58,0.11,,,,,,,,L7185
,,4,186 379.06,0.12,,,,,,,,L7185
,,5,186 454.10,0.11,,,,,,,,L7185
,,6,186 597.49,0.13,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4D)4d,5D,1,186 711.92,0.14,,,,,,,,L7185
,,2,186 791.91,0.10,,,,,,,,L7185
,,3,186 883.11,0.10,,,,,,,,L7185
,,4,186 998.82,0.10,,,,,,,,L7185
,,,,,,,,,,,,
3d4(5D)4s4p(3P°),7P°,2,186 741.4,0.3,,,,,,,,L7185
,,3,186 892.4,0.3,,,,,,,,L7185
,,4,187 091.3,0.3,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4D)5s,5D,4,188 013.51,0.09,,,,,,,,L7185
,,0,188 109.42,0.10,,,,,,,,L7185
,,3,188 109.74,0.09,,,,,,,,L7185
,,1,188 131.84,0.10,,,,,,,,L7185
,,2,188 142.78,0.09,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4D)4d,3G,3,188 955.71,0.11,,,,,,,,L7185
,,4,189 011.99,0.11,,,,,,,,L7185
,,5,189 024.76,0.11,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4D)5s,3D,3,189 679.21,0.10,,,,,,,,L7185
,,2,189 784.65,0.10,,,,,,,,L7185
,,1,189 796.14,0.10,,,,,,,,L7185
,,,,,,,,,,,,
3d5(6S)5d,7D,1,190 393.4,0.3,,,,,,,,L7185
,,2,190 397.90,0.23,,,,,,,,L7185
,,3,190 404.51,0.23,,,,,,,,L7185
,,4,190 413.77,0.23,,,,,,,,L7185
,,5,190 425.94,0.24,,,,,,,,L7185
,,,,,,,,,,,,
3d5(6S)6s,7S,3,190 918.36,0.23,,,,,,,,L7185
,,,,,,,,,,,,
3d5(c 2D)4p,3F°,2,191 015.52,0.16,68,,,,22,3d5(a 2D)4p,3F°,L11223
,,3,191 118.96,0.14,67,,,,21,3d5(a 2D)4p,3F°,L11223
,,4,191 632.16,0.18,73,,,,23,3d5(a 2D)4p,3F°,L11223
,,,,,,,,,,,,
3d5(6S)6s,5S,2,192 007.10,0.10,,,,,,,,L7185
,,,,,,,,,,,,
3d5(c 2D)4p,3D°,1,192 546.69,0.17,72,,,,22,3d5(a 2D)4p,3D°,L11223
,,2,192 875.99,0.14,67,,,,21,3d5(a 2D)4p,3D°,L11223
,,3,193 242.22,0.16,66,,,,20,3d5(a 2D)4p,3D°,L11223
,,,,,,,,,,,,
3d5(c 2D)4p,1D°,2,193 555.75,0.16,52,,,,17,3d5(a 2D)4p,1D°,L11223
,,,,,,,,,,,,
3d5(6S)5d,5D,0,193 595.45,0.12,,,,,,,,L7185
,,1,193 599.73,0.11,,,,,,,,L7185
,,2,193 606.13,0.10,,,,,,,,L7185
,,3,193 611.12,0.12,,,,,,,,L7185
,,4,193 611.46,0.19,,,,,,,,L7185
,,,,,,,,,,,,
3d5(c 2D)4p,1F°,3,194 842.63,0.17,71,,,,22,3d5(a 2D)4p,1F°,L11223
,,,,,,,,,,,,
3d5(2I)5s,3I,7,196 881.68,0.12,,,,,,,,L7185
,,6,196 886.20,0.12,,,,,,,,L7185
,,5,196 901.46,0.12,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)5p,5G°,2,198 333.71,0.10,,,,,,,,L7185
,,6,198 333.92,0.10,,,,,,,,L7185
,,5,198 336.81,0.10,,,,,,,,L7185
,,3,198 337.17,0.10,,,,,,,,L7185
,,4,198 338.77,0.10,,,,,,,,L7185
,,,,,,,,,,,,
3d5(6S)6p,7P°,2,198 606.6,0.3,,,,,,,,L7185
,,3,198 655.9,0.3,,,,,,,,L7185
,,4,198 737.2,0.3,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)5p,5H°,3,198 658.96,0.11,,,,,,,,L7185
,,4,198 717.71,0.10,,,,,,,,L7185
,,5,198 774.09,0.10,,,,,,,,L7185
,,6,198 821.58,0.10,,,,,,,,L7185
,,7,198 848.60,0.10,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)5p,5F°,5,199 139.93,0.10,,,,,,,,L7185
,,4,199 212.86,0.10,,,,,,,,L7185
,,3,199 262.55,0.10,,,,,,,,L7185
,,2,199 300.28,0.10,,,,,,,,L7185
,,1,199 328.09,0.11,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)5p,3F°,2,199 577.81,0.11,,,,,,,,L7185
,,3,199 595.45,0.11,,,,,,,,L7185
,,4,199 603.75,0.11,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)5p,3H°,6,199 635.07,0.12,,,,,,,,L7185
,,5,199 660.99,0.11,,,,,,,,L7185
,,4,199 700.93,0.10,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4F)4d,5H,3,199 702.21,0.14,,,,,,,,L7185
,,4,199 805.04,0.12,,,,,,,,L7185
,,5,199 884.29,0.16,,,,,,,,L7185
,,6,199 906.16,0.17,,,,,,,,L7185
,,7,200 003.89,0.14,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4F)4d,5G,4,200 325.73,0.13,,,,,,,,L7185
,,3,200 384.47,0.12,,,,,,,,L7185
,,5,200 395.48,0.12,,,,,,,,L7185
,,2,200 438.30,0.14,,,,,,,,L7185
,,6,200 656.19,0.13,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)5p,3G°,3,200 505.09,0.11,,,,,,,,L7185
,,4,200 514.61,0.11,,,,,,,,L7185
,,5,200 524.29,0.11,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4P)5p,5D°,2,201 164.38,0.10,,,,,,,,L7185
,,3,201 166.56,0.10,,,,,,,,L7185
,,0,201 170.25,0.11,,,,,,,,L7185
,,1,201 178.15,0.12,,,,,,,,L7185
,,4,201 207.42,0.10,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4P)5p,5S°,2,201 293.91,0.10,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4F)5s,5F,5,201 892.60,0.12,,,,,,,,L7185
,,4,201 919.70,0.12,,,,,,,,L7185
,,3,202 030.55,0.12,,,,,,,,L7185
,,2,202 156.37,0.12,,,,,,,,L7185
,,1,202 429.23,0.13,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4P)5p,5P°,3,202 200.67,0.10,,,,,,,,L7185
,,2,202 282.81,0.10,,,,,,,,L7185
,,1,202 334.54,0.11,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4D)5p,5F°,1,204 907.28,0.10,,,,,,,,L7185
,,2,204 943.37,0.10,,,,,,,,L7185
,,3,205 002.60,0.10,,,,,,,,L7185
,,4,205 092.61,0.10,,,,,,,,L7185
,,5,205 195.34,0.10,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4D)5p,5D°,4,205 672.08,0.10,,,,,,,,L7185
,,1,205 694.18,0.11,,,,,,,,L7185
,,3,205 732.53,0.09,,,,,,,,L7185
,,2,205 737.64,0.10,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4D)5p,3D°,3,206 180.52,0.10,,,,,,,,L7185
,,2,206 233.45,0.10,,,,,,,,L7185
,,1,206 295.92,0.11,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4D)5p,3F°,4,206 261.53,0.10,,,,,,,,L7185
,,2,206 324.98,0.10,,,,,,,,L7185
,,3,206 328.36,0.10,,,,,,,,L7185
,,,,,,,,,,,,
3d5(6S)5f,7F°,6,207 118.4,0.3,,,,,,,,L7185
,,5,207 118.8,0.3,,,,,,,,L7185
,,4,207 119.3,0.3,,,,,,,,L7185
,,3,207 119.8,0.3,,,,,,,,L7185
,,2,207 120.1,0.3,,,,,,,,L7185
,,,,,,,,,,,,
3d5(6S)5f,5F°,1,207 252.6,0.4,,,,,,,,L7185
,,2,207 258.00,0.11,,,,,,,,L7185
,,3,207 263.23,0.16,,,,,,,,L7185
,,4,207 268.37,0.18,,,,,,,,L7185
,,5,207 273.33,0.19,,,,,,,,L7185
,,,,,,,,,,,,
3d5(6S)5g,7G,4,207 641.1,0.3,,,,,,,,L7185
,,5,207 641.1,0.3,,,,,,,,L7185
,,6,207 641.1,0.3,,,,,,,,L7185
,,7,207 641.1,0.3,,,,,,,,L7185
,,3,207 641.2,0.3,,,,,,,,L7185
,,2,207 641.3,0.3,,,,,,,,L7185
,,,,,,,,,,,,
3d5(6S)5g,5G,4,207 643.4,0.3,,,,,,,,L7185
,,5,207 643.4,0.4,,,,,,,,L7185
,,6,207 643.4,0.3,,,,,,,,L7185
,,2,207 643.49,0.24,,,,,,,,L7185
,,3,207 643.5,0.4,,,,,,,,L7185
,,,,,,,,,,,,
3d5(6S)6d,7D,1,210 393.9,0.3,,,,,,,,L7185
,,2,210 396.2,0.3,,,,,,,,L7185
,,3,210 399.8,0.3,,,,,,,,L7185
,,4,210 404.8,0.3,,,,,,,,L7185
,,5,210 411.5,0.3,,,,,,,,L7185
,,,,,,,,,,,,
3d5(6S)7s,7S,3,210 615.4,0.3,,,,,,,,L7185
,,,,,,,,,,,,
3d5(2I)5p,3I°,7,213 458.03,0.13,,,,,,,,L7185
,,6,213 505.93,0.12,,,,,,,,L7185
,,5,213 563.27,0.12,,,,,,,,L7185
,,,,,,,,,,,,
3d5(2I)5p,3H°,6,213 974.60,0.12,,,,,,,,L7185
,,5,214 010.52,0.12,,,,,,,,L7185
,,4,214 047.58,0.12,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4F)5p,5G°,2,218 860.76,0.14,,,,,,,,L7185
,,3,218 923.31,0.12,,,,,,,,L7185
,,4,219 004.67,0.12,,,,,,,,L7185
,,5,219 093.01,0.12,,,,,,,,L7185
,,6,219 162.56,0.12,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4F)5p,5F°,5,219 415.77,0.12,,,,,,,,L7185
,,4,219 472.12,0.12,,,,,,,,L7185
,,3,219 566.25,0.12,,,,,,,,L7185
,,2,219 655.73,0.12,,,,,,,,L7185
,,1,219 743.24,0.13,,,,,,,,L7185
,,,,,,,,,,,,
3d5(6S)6g,7G,5,219 739.9,0.6,,,,,,,,L7185
,,4,219 739.9,0.6,,,,,,,,L7185
,,3,219 739.9,0.7,,,,,,,,L7185
,,2,219 739.9,0.7,,,,,,,,L7185
,,7,219 739.9,0.5,,,,,,,,L7185
,,6,219 739.9,0.6,,,,,,,,L7185
,,1,219 739.9,0.7,,,,,,,,L7185
,,,,,,,,,,,,
3d5(6S)6g,5G,6,219 741.97,0.20,,,,,,,,L7185
,,5,219 742.03,0.19,,,,,,,,L7185
,,2,219 742.2,0.4,,,,,,,,L7185
,,3,219 742.27,0.13,,,,,,,,L7185
,,4,219 742.28,0.17,,,,,,,,L7185
,,,,,,,,,,,,
3d5(6S)6h,7H°,3,219 780.4,0.3,,,,,,,,L7185
,,5,219 780.4,0.3,,,,,,,,L7185
,,6,219 780.4,0.3,,,,,,,,L7185
,,7,219 780.4,0.3,,,,,,,,L7185
,,8,219 780.4,0.3,,,,,,,,L7185
,,4,219 780.4,0.3,,,,,,,,L7185
,,2,219 780.4,0.4,,,,,,,,L7185
,,,,,,,,,,,,
3d5(6S)6h,5H°,4,219 780.8,0.4,,,,,,,,L7185
,,5,219 780.8,0.3,,,,,,,,L7185
,,6,219 780.8,0.4,,,,,,,,L7185
,,7,219 780.8,0.3,,,,,,,,L7185
,,3,219 780.8,0.3,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)5d,5H,7,222 591.04,0.11,,,,,,,,L7185
,,6,222 602.68,0.11,,,,,,,,L7185
,,3,222 605.40,0.11,,,,,,,,L7185
,,4,222 605.95,0.18,,,,,,,,L7185
,,5,222 611.30,0.11,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)5d,5F,5,222 699.23,0.10,,,,,,,,L7185
,,4,222 734.53,0.11,,,,,,,,L7185
,,3,222 750.32,0.10,,,,,,,,L7185
,,2,222 774.32,0.10,,,,,,,,L7185
,,1,222 777.04,0.12,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)5d,5G,6,222 714.46,0.10,,,,,,,,L7185
,,5,222 744.84,0.10,,,,,,,,L7185
,,2,222 758.43,0.11,,,,,,,,L7185
,,4,222 766.06,0.11,,,,,,,,L7185
,,3,222 766.13,0.12,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)5d,5I,8,222 798.20,0.12,,,,,,,,L7185
,,4,222 823.50,0.12,,,,,,,,L7185
,,7,222 824.72,0.11,,,,,,,,L7185
,,5,222 832.61,0.11,,,,,,,,L7185
,,6,222 834.89,0.12,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)6s,5G,6,223 272.30,0.11,,,,,,,,L7185
,,5,223 309.60,0.10,,,,,,,,L7185
,,4,223 326.91,0.15,,,,,,,,L7185
,,2,223 328.04,0.13,,,,,,,,L7185
,,3,223 330.81,0.13,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4G)6s,3G,5,224 038.93,0.11,,,,,,,,L7185
,,3,224 051.74,0.12,,,,,,,,L7185
,,4,224 058.87,0.12,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4P)6s,5P,3,226 382.05,0.11,,,,,,,,L7185
,,2,226 447.98,0.17,,,,,,,,L7185
,,1,226 506.70,0.11,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4D)6s,5D,4,229 421.81,0.11,,,,,,,,L7185
,,3,229 509.70,0.11,,,,,,,,L7185
,,1,229 530.81,0.11,,,,,,,,L7185
,,2,229 570.48,0.11,,,,,,,,L7185
,,,,,,,,,,,,
3d5(4D)6s,3D,3,230 193.06,0.11,,,,,,,,L7185
,,1,230 248.39,0.13,,,,,,,,L7185
,,2,230 257.34,0.11,,,,,,,,L7185
,,,,,,,,,,,,
Fe IV (3d5 6S5/2),Limit,---,247 220,100,,,,,,,,"L7185,L1171"
