Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,1,118 071.302,0.003,,87,,,,6,3d8(1D)4s4p(3P°),3D°,L19804
,,,,,,,,,,,,,
3d9(2D3/2)4d,2[1/2],1,117 231.4014,0.0019,,91,,,,7,3d9(2D5/2)4d,2[1/2],L19804
,,0,122 415.957,0.003,,45,,,,34,3d9(2D5/2)4d,2[1/2],L19804
,,,,,,,,,,,,,
3d8(3F)4s4p(3P°),3F°,4,117 666.626,0.005,,88,,,,3,3d8(3F)4s4p(3P°),5F°,L19804
,,3,118 142.950,0.003,,63,,,,14,3d8(3F)4s4p(3P°),1F°,L19804
,,2,119 039.6355,0.0019,,82,,,,8,3d8(3F)4s4p(3P°),3D°,L19804
,,,,,,,,,,,,,
3d9(2D3/2)4d,2[7/2],3,117 747.3504,0.0015,,95,,,,4,3d9(2D5/2)4d,2[7/2],L19804
,,4,117 883.0985,0.0013,,96,,,,2,3d9(2D5/2)4d,2[7/2],L19804
,,,,,,,,,,,,,
3d9(2D3/2)4d,2[3/2],1,117 928.2197,0.0018,,98,,,,,,,L19804
,,2,118 163.2663,0.0015,,82,,,,12,3d9(2D3/2)4d,2[5/2],L19804
,,,,,,,,,,,,,
3d9(2D3/2)4d,2[5/2],3,118 483.8135,0.0015,,98,,,,1,3d9(2D5/2)4d,2[5/2],L19804
,,2,118 531.9058,0.0016,,86,,,,12,3d9(2D3/2)4d,2[3/2],L19804
,,,,,,,,,,,,,
3d8(3F)4s4p(3P°),1G°,4,118 991.330,0.007,,75,,,,20,3d8(3F)4s4p(3P°),3G°,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5p,2[3/2]°,2,120 092.3828,0.0012,,96,,,,2,3d84s4p,,L19804
,,1,120 919.5715,0.0012,,83,,,,15,3d9(2D3/2)5p,2[1/2]°,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5p,2[7/2]°,3,120 684.7128,0.0013,,86,,,,13,3d84s4p,,L19804
,,4,120 789.80865,0.0013,,95,,,,4,3d84s4p,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5p,2[5/2]°,2,120 876.0141,0.0015,,51,,,,41,3d84s4p,,L19804
,,3,121 079.1501,0.0012,,54,,,,35,3d84s4p,,L19804
,,,,,,,,,,,,,
3d8(3F)4s4p(3P°),1F°,3,121 524.8509,0.0014,,39,,,,43,3d95p,3D°,L19804
,,,,,,,,,,,,,
3d8(3F)4s4p(3P°),1D°,2,121 981.8546,0.0015,,36,,,,32,3d95p,3D°,L19804
,,,,,,,,,,,,,
3d9(2D3/2)5p,2[1/2]°,0,122 224.0199,0.0020,,99,,,,,,,L19804
,,1,122 867.7407,0.0015,,75,,,,14,3d9(2D5/2)5p,2[3/2]°,L19804
,,,,,,,,,,,,,
3d9(2D3/2)5p,2[5/2]°,2,122 745.9491,0.0013,,85,,,,4,3d9(2D3/2)5p,2[3/2]°,L19804
,,3,123 016.8175,0.0014,,91,,,,7,3d84s4p,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)5p,2[3/2]°,1,123 304.823,0.003,,86,,,,9,3d9(2D3/2)5p,2[1/2]°,L19804
,,2,123 556.8261,0.0016,,76,,,,13,3d84s4p,,L19804
,,,,,,,,,,,,,
3d8(3P)4s4p(3P°),5P°,3,125 230.061,0.017,,88,,,,8,3d8(1D)4s4p(3P°),3D°,L19804
,,2,125 248.121,0.008,,88,,,,3,3d8(1D)4s4p(3P°),3P°,L19804
,,1,125 569.33,0.04,,94,,,,2,3d8(1D)4s4p(3P°),3P°,L19804
,,,,,,,,,,,,,
3d8(1D)4s4p(3P°),3F°,2,128 365.736,0.006,,69,,,,15,3d8(1D)4s4p(3P°),3D°,L19804
,,3,128 559.314,0.008,,68,,,,11,3d8(3P)4s4p(3P°),5D°,L19804
,,4,128 778.037,0.017,,64,,,,28,3d8(3P)4s4p(3P°),5D°,L19804
,,,,,,,,,,,,,
3d8(1D)4s4p(3P°),3D°,1,128 569.150,0.008,,66,,,,9,3d8(1D)4s4p(3P°),3P°,L19804
,,2,128 854.036,0.008,,59,,,,19,3d8(1D)4s4p(3P°),3F°,L19804
,,3,129 116.774,0.011,,69,,,,10,3d8(1D)4s4p(3P°),3F°,L19804
,,,,,,,,,,,,,
3d84s2,1S,0,128 910.03,0.06,,94,,,,5,3d8(1S)4p2(1S),1S,L19804
,,,,,,,,,,,,,
3d8(1D)4s4p(3P°),3P°,0,129 105.778,0.009,,63,,,,32,3d8(3P)4s4p(3P°),3P°,L19804
,,1,129 759.750,0.006,,56,,,,19,3d8(1D)4s4p(3P°),3D°,L19804
,,2,130 386.404,0.016,,74,,,,12,3d8(3P)4s4p(3P°),3P°,L19804
,,,,,,,,,,,,,
3d8(3P)4s4p(3P°),5D°,1,130 940.488,0.008,,91,,,,5,3d8(3F)4s4p(3P°),5D°,L19804
,,2,130 943.661,0.009,,88,,,,5,3d8(3F)4s4p(3P°),5D°,L19804
,,0,130 953.558,0.016,,91,,,,6,3d8(3F)4s4p(3P°),5D°,L19804
,,3,131 044.310,0.008,,81,,,,11,3d8(1D)4s4p(3P°),3F°,L19804
,,4,131 312.426,0.013,,66,,,,25,3d8(1D)4s4p(3P°),3F°,L19804
,,,,,,,,,,,,,
