Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,2,76 589.3,,,,,,,,,,
,,,,,,,,,,,,,
3p63d6s,3D,1,77 195.19,,,,,,,,,,
,,2,77 256.99,,,,,,,,,,
,,3,77 387.17,,,,,,,,,,
,,,,,,,,,,,,,
3p63d6s,1D,2,77 833.88,,,,,,,,,,
,,,,,,,,,,,,,
3p64s5s,3S,1,78 265.7,,,,,,,,,,
,,,,,,,,,,,,,
3p63d5d,1F,3,78 394.05,,,,,,,,,,
,,,,,,,,,,,,,
3p63d5d,3D,1,78 479.25,,,,,,,,,,
,,2,78 539.96,,,,,,,,,,
,,3,78 612.48,,,,,,,,,,
,,,,,,,,,,,,,
3p63d5d,3G,3,78 648.06,,,,,,,,,,
,,4,78 713.21,,,,,,,,,,
,,5,78 820.24,,,,,,,,,,
,,,,,,,,,,,,,
3p63d5d,1P,1,78 757.46,,,,,,,,,,
,,,,,,,,,,,,,
3p63d5d,3S,1,79 174.14,,,,,,,,,,
,,,,,,,,,,,,,
3p63d5d,3F,2,79 852.02,,,,,,,,,,
,,3,79 925.59,,,,,,,,,,
,,4,80 001.24,,,,,,,,,,
,,,,,,,,,,,,,
3p63d5d,1D,2,80 395.38,,,,,,,,,,
,,,,,,,,,,,,,
3p63d5d,1G,4,80 711.71,,,,,,,,,,
,,,,,,,,,,,,,
3p63d5d,3P,0,80 974.94,,,,,,,,,,
,,1,81 040.25,,,,,,,,,,
,,2,81 103.75,,,,,,,,,,
,,,,,,,,,,,,,
3p64s5s,1S,0,81 121.77,,,,,,,,,,
,,,,,,,,,,,,,
3p64s4d,3D,1,82 791.8,,,,,,,,,,
,,2,82 806.3,,,,,,,,,,
,,3,82 828.3,,,,,,,,,,
,,,,,,,,,,,,,
3p63d5f,1G°,4,85 353.96,,,58,,,,20,3d5f,3F°,
,,,,,,,,,,,,,
3p63d5f,3G°,3,85 405.39,,,50,,,,46,3d5f,3F°,
,,4,85 605.99,,,59,,,,20,3d5f,3F°,
,,5,85 636.05,,,70,,,,29,3d5f,3H°,
,,,,,,,,,,,,,
3p63d5f,3H°,4,85 445.35,,,69,,,,21,3d5f,3G°,
,,5,85 504.42,,,61,,,,28,3d5f,1H°,
,,6,85 666.26,,,100,,,,,,,
,,,,,,,,,,,,,
3p63d5f,°,3,85 452.99,,,31,1F°,,,25,3d5f,3F°,
,,,,,,,,,,,,,
3p63d5f,1D°,2,85 558.24,,,40,,,,31,3d5f,3D°,
,,,,,,,,,,,,,
3p63d5f,3F°,4,85 580.3,,,56,,,,30,3d5f,1G°,
,,,,,,,,,,,,,
3p63d(2D3/2)5g,2[9/2],5,85 587.87,,,100,,,,,,,
,,4,85 588.17,,,100,,,,,,,
,,,,,,,,,,,,,
3p63d5f,3D°,1,85 591.59,,,75,,,,14,3d5f,1P°,
,,2,85 661.0,,,41,,,,39,3d5f,1D°,
,,3,85 700.7,,,71,,,,24,3d5f,1F°,
,,,,,,,,,,,,,
3p63d(2D3/2)5g,2[7/2],3,85 611.4,,,99,,,,1,3d(2D5/2)5g,2[7/2],
