Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
3d6(3F1)4s,2F,7/2,185 967.0,,77,,,,21,3d6(3F2)4s,2F,
,,5/2,185 997.0,,80,,,,20,3d6(3F2)4s,2F,
,,,,,,,,,,,,
3d6(5D)4p,4F°,9/2,186 470.1,,94,,,,4,3d6(5D)4p,6F°,
,,7/2,187 570.3,,95,,,,3,3d6(5D)4p,6F°,
,,5/2,188 320.1,,96,,,,2,3d6(5D)4p,6F°,
,,3/2,188 824.2,,97,,,,,,,
,,,,,,,,,,,,
3d6(5D)4p,4P°,5/2,190 830.3,,97,,,,,,,
,,3/2,191 618.2,,98,,,,,,,
,,1/2,192 033.5,,98,,,,,,,
,,,,,,,,,,,,
3d6(1G1)4s,2G,9/2,190 864.7,,66,,,,33,3d6(1G2)4s,2G,
,,7/2,190 932.8,,66,,,,33,3d6(1G2)4s,2G,
,,,,,,,,,,,,
3d6(3P2)4p,4S°,3/2,205 114.1,,44,,,,19,3d6(3P2)4p,4P°,
,,,,,,,,,,,,
3d6(3H)4p,4G°,11/2,206 005.3,,68,,,,21,3d6(3F2)4p,4G°,
,,9/2,206 340.9,,51,,,,28,3d6(3F2)4p,4G°,
,,7/2,206 645.7,,45,,,,34,3d6(3F2)4p,4G°,
,,5/2,206 847.0,,42,,,,38,3d6(3F2)4p,4G°,
,,,,,,,,,,,,
3d6(3P2)4p,°,5/2,206 523.2,,27,4P°,,,23,3d6(3P1)4p,4P°,
,,,,,,,,,,,,
3d6(3H)4p,4I°,11/2,206 740.7,,51,,,,35,3d6(3H)4p,4H°,
,,13/2,206 754.5,,48,,,,38,3d6(3H)4p,4H°,
,,9/2,208 046.8,,46,,,,19,3d6(3H)4p,4H°,
,,15/2,208 149.5,,99,,,,,,,
,,,,,,,,,,,,
3d6(3H)4p,°,9/2,206 865.5,,43,4I°,,,37,3d6(3H)4p,4H°,
,,,,,,,,,,,,
3d6(3H)4p,4H°,7/2,207 136.0,,47,,,,20,3d6(3H)4p,2G°,
,,11/2,208 595.3,,45,,,,44,3d6(3H)4p,4I°,
,,13/2,208 631.3,,51,,,,40,3d6(3H)4p,4I°,
,,,,,,,,,,,,
3d6(3P2)4p,4P°,1/2,207 846.2,,48,,,,41,3d6(3P1)4p,4P°,
,,,,,,,,,,,,
3d6(3P2)4p,2D°,5/2,208 009.1,,32,,,,20,3d6(3P1)4p,2D°,
,,,,,,,,,,,,
3d6(3P2)4p,°,7/2,208 330.7,,22,4D°,,,19,3d6(3F2)4p,4F°,
,,,,,,,,,,,,
3d6(3P2)4p,°,3/2,208 461.0,,22,4S°,,,13,3d6(3P2)4p,4P°,
,,,,,,,,,,,,
3d6(3F2)4p,4F°,5/2,208 605.7,,54,,,,18,3d6(3F1)4p,4F°,
,,3/2,208 766.9,,63,,,,20,3d6(3F1)4p,4F°,
,,9/2,208 933.6,,49,,,,18,3d6(3F1)4p,4F°,
,,,,,,,,,,,,
3d6(3P2)4p,4D°,7/2,208 912.1,,39,,,,21,3d6(3P1)4p,4D°,
,,1/2,210 313.3,,59,,,,28,3d6(3P1)4p,4D°,
,,,,,,,,,,,,
3d6(3H)4p,°,9/2,209 131.9,,37,2G°,,,23,3d6(3H)4p,4H°,
,,,,,,,,,,,,
3d6(3H)4p,°,7/2,209 391.4,,34,2G°,,,16,3d6(3F2)4p,4F°,
,,,,,,,,,,,,
3d6(3P2)4p,°,3/2,209 985.1,,18,2D°,,,16,3d6(3P2)4p,4P°,
,,,,,,,,,,,,
