Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
4d3.(4F).5p,3G*,4,,82009.93,,,  66             :    17  4d3.(4F).5p  5F*  ,
4d3.(4F).5p,3G*,5,,83147.76,,,  55             :    29  4d3.(4F).5p  5F*  ,
4d3.(4F).5p,3F*,2,,82540.09,,,  75             :     8  4d3.(2D2).5p 3F*  ,
4d3.(4F).5p,3F*,3,,83584.49,,,  79             :     7  4d3.(2D2).5p 3F*  ,
4d3.(4F).5p,3F*,4,,84544.49,,,  81             :     6  4d3.(2D2).5p 3F*  ,
4d3.(4P).5p,5P*,1,,85308.94,,,  78             :     6  4d3.(2P).5p  3P*  ,
4d3.(4P).5p,5P*,2,,86426.76,,,  82             :    10  4d3.(4P).5p  5D*  ,
4d3.(4P).5p,5P*,3,,87391.73,,,  93             :     3  4d3.(4P).5p  5D*  ,
4d3.(4P).5p,3P*,2,,85330.02,,,  44             :    19  4d3.(4P).5p  5D*  ,
4d3.(4P).5p,3P*,1,,87831.27,,,  49             :    19  4d3.(4P).5p  5D*  ,
4d3.(4P).5p,5D*,1,,85683.20,,,  50             :    29  4d3.(4P).5p  3P*  ,
4d3.(4P).5p,5D*,2,,87473.40,,,  55             :    17  4d3.(4P).5p  3P*  ,
4d3.(4P).5p,5D*,3,,87810.62,,,  80             :     7  4d3.(4F).5p  5D*  ,
4d3.(4P).5p,5D*,4,,89100.21,,,  48             :    17  4d3.(2G).5p  1G*  ,
4d3.(2G).5p,3H*,4,,85896.16,,,  73             :    20  4d3.(2H).5p  3H*  ,
4d3.(2G).5p,3H*,5,,86892.69,,,  61             :    23  4d3.(2H).5p  3H*  ,
4d3.(2G).5p,3H*,6,,88441.64,,,  65             :    28  4d3.(2H).5p  3H*  ,
4d3.5p,*,3,,88499.21,,,  37  3G*        :    23  4d3.(2G).5p  1F*  ,
4d3.5p,*,2,,88592.04,,,  21  1D*        :    15  4d3.(2D2).5p 3F*  ,
4d3.5p,*,4,,89503.85,,,  45  5D*        :    19  4d3.(2G).5p  1G*  ,
4d3.(2G).5p,1H*,5,,89689.96,,,  41             :    25  4d3.(2H).5p  1H*  ,
4d3.(2G).5p,3G*,4,,90255.09,,,  67             :    15  4d3.(2G).5p  1G*  ,
4d3.(2G).5p,3G*,3,,90588.48,,,  41             :    21  4d3.(2G).5p  3F*  ,
4d3.(2G).5p,3G*,5,,91006.93,,,  57             :    12  4d3.(2H).5p  3I*  ,
4d3.5p,*,2,,90586.06,,,  25  3F*        :    19  4d3.(2P).5p  3P*  ,
4d3.5p,*,2,,90982.62,,,  23  3P*        :    12  4d3.(2G).5p  3F*  ,
4d3.(2G).5p,*,3,,91050.26,,,  29  1F*        :    14  4d3.(2D2).5p 1F*  ,
4d3.5p,*,4,,91387.50,,,  39  3F*        :    36  4d3.(2H).5p  3H*  ,
4d3.(2P).5p,3D*,2,,91674.52,,,  63             :    13  4d3.(2G).5p  3F*  ,
4d3.(4P).5p,5S*,2,,92099.59,,,  79             :     6  4d3.(4P).5p  3P*  ,
4d3.(2H).5p,3H*,5,,92254.60,,,  53             :    22  4d3.(2G).5p  3H*  ,
4d3.(2H).5p,3H*,6,,92728.91,,,  58             :    29  4d3.(2G).5p  3H*  ,
4d3.(2H).5p,3I*,5,,92884.18,,,  54             :    18  4d3.(2G).5p  1H*  ,
4d3.(2H).5p,3I*,6,,93306.10,,,  89             :     9  4d3.(2H).5p  3H*  ,
4d3.(2H).5p,3I*,7,,94423.96,,, 100                                        ,
4d3.(2G).5p,1G*,4,,93102.01,,,  45             :    20  4d3.(2H).5p  3H*  ,
4d3.(2D2).5p,3F*,4,,94098.26,,,  41             :    26  4d3.(2H).5p  1G*  ,
4d3.5p,*,3,,94117.62,,,  23  3F*        :    21  4d3.(2D2).5p 3D*  ,
4d3.(4P).5p,3D*,2,,94387.65,,,  31             :    29  4d3.(2D2).5p 3D*  ,
4d3.(4P).5p,3D*,3,,94676.78,,,  40             :    26  4d3.(2D2).5p 3D*  ,
4d3.(4P).5p,3D*,1,,95016.35,,,  72             :     7  4d3.(2P).5p  3D*  ,
4d3.(4P).5p,3D*,3,,95856.29,,,  28             :    22  4d3.(2D2).5p 3D*  ,
4d3.(2H).5p,1H*,5,,96285.38,,,  45             :    26  4d3.(2H).5p  3G*  ,
4d3.5p,*,3,,96838.34,,,  32  3G*        :    20  4d3.(2D2).5p 1F*  ,
4d3.(2H).5p,1I*,6,,96907.94,,,  90             :     4  4d3.(2H).5p  3H*  ,
4d3.(2H).5p,3G*,5,,97709.08,,,  56             :    22  4d3.(2H).5p  1H*  ,
Mo IV (4d3 4F<3/2>),Limit,---,[,218800,],1000,                                            ,"L10502,L17276"
