Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
3p6.3d7.(4P).4p,5D*,1,,129957.95,,,  75             :     7  3d7.(4F).4p      5D*      ,
3p6.3d7.(4P).4p,5D*,0,,130190.05,,,  86             :     8  3d7.(4F).4p      5D*      ,
3p6.3d7.(4P).4p,5D*,4,,130312.30,,,  93             :     6  3d7.(4F).4p      5D*      ,
3p6.3d7.(4P).4p,3S*,1,,130863.50,,,  53             :    12  3d7.(2P).4p      3S*      ,
3p6.3d7.(2G).4p,3H*,5,,131500.50,,,  74             :    15  3d7.(2G).4p      1H*      ,
3p6.3d7.(2G).4p,3H*,4,,132156.50,,,  61             :    28  3d7.(2G).4p      3F*      ,
3p6.3d7.(2G).4p,3H*,6,,132168.60,,,  96                                                ,
3p6.3d7.(2G).4p,3F*,4,,131792.02,,,  41             :    33  3d7.(2G).4p      3H*      ,
3p6.3d7.(2G).4p,3F*,3,,133158.50,,,  78             :    11  3d7.(2G).4p      3G*      ,
3p6.3d7.(2G).4p,3F*,2,,134231.90,,,  94                                                ,
3p6.3d7.(4P).4p,5P*,2,,132818.26,,,  45             :    21  3d7.(2P).4p      3P*      ,
3p6.3d7.(4P).4p,5P*,3,,133095.89,,,  71             :    19  3d7.(4P).4p      3D*      ,
3p6.3d7.(4P).4p,5P*,1,,133339.70,,,  73             :    20  3d7.(4P).4p      3S*      ,
3p6.3d7.(2P).4p,3P*,0,,132864.8,,,  69             :    19  3d7.(a 2D).4p    3P*      ,
3p6.3d7.(2P).4p,3P*,1,,133276.70,,,  45             :    19  3d7.(4P).4p      3D*      ,
3p6.3d7.(2P).4p,3P*,2,,133642.58,,,  49             :    10  3d7.(2P).4p      3D*      ,
3p6.3d7.(2G).4p,1G*,4,,133324.70,,,  47             :    24  3d7.(2G).4p      3F*      ,
3p6.3d7.(4P).4p,3D*,3,,133390.94,,,  65             :    20  3d7.(4P).4p      5P*      ,
3p6.3d7.(4P).4p,3D*,2,,133500.97,,,  42             :    37  3d7.(4P).4p      5P*      ,
3p6.3d7.(4P).4p,3D*,1,,133839.54,,,  54             :    15  3d7.(2P).4p      3D*      ,
3p6.3d7.(2G).4p,3G*,5,,133692.00,,,  78             :    19  3d7.(2G).4p      1H*      ,
3p6.3d7.(2G).4p,3G*,3,,134334.79,,,  70             :    16  3d7.(2G).4p      1F*      ,
