Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
5d9,2D,5/2,,0,,0,L8672
Au IV (5d8 3F<4>),Limit,---,(,242000,),13000,L8672c99
