Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
3d4,d 3P1,2,32 040.641,0.005,1.38,54,,,,41,3d4,3P2,"L20009,L8201"
,,1,32 299.266,0.007,1.48,53,,,,41,3d4,3P2,"L20009,L8201"
,,0,32 420.046,0.012,,53,,,,41,3d4,3P2,L20009
,,,,,,,,,,,,,
3d3(2F)4s,b 1F,3,34 228.8534,0.0019,1.00,90,,,,9,3d4,1F,"L20009,L8201"
,,,,,,,,,,,,,
3d3(4F)4p,z 5G°,2,34 592.8439,0.0013,0.31,100,,,,,,,"L20009,L8201"
,,3,34 745.8281,0.0009,0.93,100,,,,,,,"L20009,L8201"
,,4,34 946.6366,0.0010,1.14,100,,,,,,,"L20009,L8201"
,,5,35 193.1820,0.0013,1.16,100,,,,,,,"L20009,L8201"
,,6,35 483.6058,0.0020,,100,,,,,,,L20009
,,,,,,,,,,,,,
3d4,c 1G1,4,36 424.875,0.004,0.96,59,,,,36,3d4,1G2,"L20009,L8201"
,,,,,,,,,,,,,
3d3(4F)4p,z 3D°,1,36 489.4382,0.0010,0.35,47,,,,47,3d3(4F)4p,5F°,"L20009,L8201"
,,2,37 041.1798,0.0008,1.08,43,,,,40,3d3(4F)4p,5F°,"L20009,L8201"
,,3,37 205.0213,0.0009,1.32,46,,,,32,3d3(4F)4p,5D°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(4F)4p,z 5F°,2,36 673.5838,0.0007,1.08,59,,,,34,3d3(4F)4p,3D°,"L20009,L8201"
,,3,36 919.2647,0.0008,1.24,82,,,,12,3d3(4F)4p,3D°,"L20009,L8201"
,,1,36 954.6872,0.0012,0.24,52,,,,40,3d3(4F)4p,3D°,"L20009,L8201"
,,4,37 150.6143,0.0008,,98,,,,,,,L20009
,,5,37 352.4639,0.0012,1.40?,98,,,,,,,"L20009,L8201"
,,,,,,,,,,,,,
3d3(4F)4p,z 5D°,0,37 201.5378,0.0015,,98,,,,,,,L20009
,,1,37 259.5288,0.0010,1.39,92,,,,5,3d3(4F)4p,3D°,"L20009,L8201"
,,2,37 369.1542,0.0009,1.39,82,,,,14,3d3(4F)4p,3D°,"L20009,L8201"
