Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f3.(4I*).5d,*,6,,11749.49,,,1.215,  31  3H*        :    25   (4I*) 5G*  ,
4f2.5d2?,,5,,11927.02,,,,                                      ,
,,4 or 5,,11943.32,,,,                                      ,
4f2.5d.6s?,,6,,12076.31,,,,                                      ,
,,7,,12237.15,,,,                                      ,
4f2.5d.6s?,,8,,12545.18,,,,                                      ,
,,7,,12916.25,,,,                                      ,
4f2.5d2?,,8,,13021.35,,,,                                      ,
,,6,,13084.24,,,,                                      ,
4f2.5d.6s?,,7,,13122.57,,,,                                      ,
,,6,,13216.22,,,,                                      ,
4f2.(3H).5d.6s.(3D)?,5H?,3,,13257.21,,,0.63,                                      ,
4f2.5d.6s?,,6,,13365.03,,,,                                      ,
,,4,,13457.10,,,,                                      ,
4f2.5d2?,,6,,13472.64,,,1.07,                                      ,
4f2.5d.6s?,,9,,13639.13,,,,                                      ,
,,6,,13776.80,,,,                                      ,
,,7 or 8,,14035.48,,,,                                      ,
,,4 or 5,,14095.02,,,,                                      ,
4f2.5d.6s?,,4,,14102.29,,,,                                      ,
,,4 or 5,,14167.90,,,,                                      ,
,,7 or 8,,14198.61,,,,                                      ,
,,7,,14307.12,,,,                                      ,
,,9,,14330.52,,,,                                      ,
,,6,,14416.81,,,,                                      ,
,,5,,14607.64,,,,                                      ,
,,5 or 6,,14745.85,,,1.04,                                      ,
4f2.5d.6s?,,8,,14791.81,,,,                                      ,
,,7,,14810.97,,,,                                      ,
,,5,,14908.91,,,,                                      ,
,,8,,15087.16,,,,                                      ,
,,5,,15166.04,,,,                                      ,
4f2.5d.6s?,,6,,16243.01,,,,                                      ,
4f2.5d.6s?,,4,,16967.72,,,0.865,                                      ,
,,5,,17676.04,,,0.945,                                      ,
,,7,,18077.25,,,1.03,                                      ,
,,4,,18470.25,,,,                                      ,
,,6,,18835.77,,,1.04,                                      ,
,,5,,18910.11,,,0.95,                                      ,
4f2.5d.6s?,,4,,19567.48,,,1.04,                                      ,
,,8,,19721.75,,,,                                      ,
4f2.5d.6s?,,4,,19845.37,,,0.988,                                      ,
,,6,,19882.14,,,,                                      ,
,,6,,20114.95,,,,                                      ,
,,7,,20490.61,,,1.13,                                      ,
,,6,,20554.30,,,,                                      ,
,,5 or 6,,21061.01,,,,                                      ,
,,5 or 6,,21131.26,,,,                                      ,
4f2.5d.6s?,,4,,21462.00,,,,                                      ,
,,6,,21494.75,,,,                                      ,
4f2.5d.6s?,,5,,21676.12,,,1.000,                                      ,
,,6,,21781.06,,,,                                      ,
,,4,,21971.46,,,0.84,                                      ,
,,5,,22040.05,,,0.998,                                      ,
,,8,,22184.27,,,,                                      ,
,,5,,22317.07,,,1.18,                                      ,
,,6,,22472.04,,,,                                      ,
,,5,,22571.48,,,1.166,                                      ,
,,7,,22660.77,,,1.03,                                      ,
4f3.(4I*).6p,5K,5,,22675.44,,,0.830,                                      ,
4f3.(4I*).6p,5K,6,,24115.50,,,0.959,  88             :     7   (4I*) 3I   ,
4f3.(4I*).6p,5K,7,,25569.19,,,1.07,  91             :     5   (4I*) 5I   ,
4f3.(4I*).6p,5K,8,,27128.00,,,1.15,  93             :     5   (4I*) 5I   ,
4f3.(4I*).6p,5K,9,,28816.25,,,1.221,  99             :     1   (2K*) 3L   ,
,,4,,22686.69,,,,                                      ,
,,6,,22718.35,,,1.08,                                      ,
,,5,,22885.59,,,0.997,                                      ,
,,6,,23141.44,,,1.061,                                      ,
,,5,,23261.36,,,0.920,                                      ,
,,6,,23505.46,,,,                                      ,
,,4,,23527.90,,,1.025,                                      ,
,,5,,23616.86,,,1.01?,                                      ,
,,5,,23652.25,,,0.98,                                      ,
4f3.(4I*).6p,5I,4,,23660.20,,,0.67,  64             :    27   (4I*) 3H   ,
4f3.(4I*).6p,5I,5,,24716.04,,,0.913,  74             :    14   (4I*) 3H   ,
4f3.(4I*).6p,5I,6,,25656.69,o,,1.046,                                      ,
4f3.(4I*).6p,5I,7,,26860.95,,,1.119,  60             :    27   (4I*) 3K   ,
4f3.(4I*).6p,5I,8,,28201.95,,,1.160,  65             :    27   (4I*) 3K   ,
,,5,,23712.63,,,,                                      ,
,,7,,23898.36,,,1.104,                                      ,
,,8,,23970.47,,,1.14,                                      ,
,,6,,23977.83,,,1.156,                                      ,
,,6,,24393.73,,,0.97,                                      ,
4f3.(4I*).6p?,,4,,24754.95,,,0.908,                                      ,
,,7,,24818.54,,,1.14,                                      ,
,,6,,24835.03,,,1.01,                                      ,
,,7,,25248.69,,,1.07,                                      ,
,,4,,25467.47,,,0.90,                                      ,
4f3.(4I*).6p?,,5,,25499.52,,,0.990,                                      ,
,,4,,25545.04,,,,                                      ,
4f3.(4I*).6p,5H,3,,25578.49,,,0.55,  97             :     2   (2H*2) 3G  ,
,,6,,25610.20,,,1.118,                                      ,
,,3,,25762.81,,,0.86,                                      ,
,,4,,25814.44,,,0.95,                                      ,
,,5,,25842.41,,,1.000,                                      ,
,,5,,26062.38,,,,                                      ,
,,8,,26139.77,,,,                                      ,
4f3.(4I*).6p?,,5,,26146.01,,,1.05,                                      ,
4f3.(4I*).6p?,,4,,26226.56,,,0.91,                                      ,
4f3.(4I*).6p?,,6,,26398.52,,,0.990,                                      ,
,,7,,26445.11,,,1.065,                                      ,
,,6,,26524.02,,,1.02,                                      ,
,,5,,26640.86,,,1.05,                                      ,
,,5,,26707.31,,,1.07,                                      ,
4f3.(4I*).6p?,,6,,26961.96,,,1.076,                                      ,
,,5,,26973.49,,,1.11,                                      ,
4f3.(4I*).6p?,,5,,27198.24,,,1.07,                                      ,
,,5,,27380.45,,,1.06,                                      ,
4f3.(4I*).6p?,,6,,27604.94,,,1.13,                                      ,
,,8,,27781.69,,,1.075,                                      ,
4f3.(4I*).6p?,,7,,28009.80,,,1.12,                                      ,
,,6,,28034.08,,,,                                      ,
,,7,,28172.96,,,1.14:,                                      ,
4f3.(4I*).6p,3I,6,,28508.79,,,1.11,  51             :    37   (4I*) 5H   ,
4f3.(4I*).6p?,3I?,7,,28577.79,,,1.19,                                      ,
4f3.(4I*).6p?,,8,,29723.97,,,1.15,                                      ,
4f3.(4I*).6p?,5H?,7,,30018.10,,,1.215,                                      ,
4f2.(3H).5d.6p?,5K*?,5,,30844.63,,,0.74?,                                      ,
4f2.5d.6p?,*,4,,31775.93,,,0.78,                                      ,
4f2.5d.6p?,*,5,,32590.69,,,0.69:,                                      ,
4f2.5d.6p?,*,5,,33277.53,,,0.91,                                      ,
4f2.5d.6p?,*,5,,33387.62,,,0.93,                                      ,
4f2.5d.6p?,*,4,,33440.49,,,0.83,                                      ,
,*,6,,33616.69,,,0.98,                                      ,
4f2.5d.6p?,*,5,,33674.55,,,0.97,                                      ,
4f2.5d.6p?,*,4,,33981.23,,,,                                      ,
4f2.5d.6p?,*,6,,34031.30,,,0.96,                                      ,
4f2.5d.6p?,*,4,,34322.69,,,0.80,                                      ,
,*,6,,35133.62,,,,                                      ,
,*,5,,35220.91,,,0.89,                                      ,
,*,5,,35497.57,,,,                                      ,
Pr III (4f3.5s2.5p6 4I*<9/2>),Limit,---,[,85745,],160,,                                      ,L19870c180
