Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
,,7/2,112 057.80,,100,,,,,,,
,,,,,,,,,,,,
3d4(5D)4p,z 4P°,1/2,112 645.31,,73,,,,24,3d4(5D)4p,6D°,
,,3/2,113 078.34,,66,,,,30,3d4(5D)4p,6D°,
,,5/2,113 676.53,,51,,,,48,3d4(5D)4p,6D°,
,,,,,,,,,,,,
3d4(5D)4p,z 6D°,1/2,113 991.31,,75,,,,24,3d4(5D)4p,4P°,
,,3/2,114 094.97,,69,,,,30,3d4(5D)4p,4P°,
,,7/2,114 209.01,,99,,,,,,,
,,5/2,114 287.91,,52,,,,46,3d4(5D)4p,4P°,
,,9/2,114 501.18,,97,,,,,,,
,,,,,,,,,,,,
3d4(3F1)4s,c 4F,9/2,115 711.60,,81,,,,19,3d4(3F2)4s,4F,
,,3/2,115 762.60,,79,,,,20,3d4(3F2)4s,4F,
,,7/2,115 774.00,,79,,,,20,3d4(3F2)4s,4F,
,,5/2,115 780.23,,79,,,,20,3d4(3F2)4s,4F,
,,,,,,,,,,,,
3d4(3P1)4s,c 4P,3/2,116 207.50,,62,,,,38,3d4(3P2)4s,4P,
,,1/2,116 498.40,,62,,,,38,3d4(3P2)4s,4P,
,,5/2,116 622.40,,62,,,,38,3d4(3P2)4s,4P,
,,,,,,,,,,,,
3d4(5D)4p,z 4F°,3/2,116 580.17,,96,,,,,,,
,,5/2,116 692.14,,96,,,,,,,
,,7/2,116 851.69,,95,,,,,,,
,,9/2,117 063.74,,94,,,,,,,
,,,,,,,,,,,,
3d4(3F1)4s,e 2F,7/2,120 955.45,,81,,,,19,3d4(3F2)4s,2F,
,,5/2,121 003.10,,79,,,,20,3d4(3F2)4s,2F,
,,,,,,,,,,,,
3d4(5D)4p,z 4D°,1/2,120 974.25,,98,,,,,,,
,,3/2,121 091.08,,98,,,,,,,
,,5/2,121 267.32,,98,,,,,,,
,,7/2,121 480.24,,98,,,,,,,
,,,,,,,,,,,,
3d4(1G1)4s,e 2G,9/2,124 973.18,,66,,,,34,3d4(3F2)4s,2F,
,,7/2,124 986.30,,66,,,,34,3d4(1G2)4s,2G,
,,,,,,,,,,,,
3d4(3H)4p,z 4H°,7/2,130 731.31,,80,,,,18,3d4(3G)4p,4H°,
,,9/2,130 895.39,,79,,,,17,3d4(3G)4p,4H°,
,,11/2,131 123.64,,79,,,,16,3d4(3G)4p,4H°,
,,13/2,131 420.03,,82,,,,14,3d4(3G)4p,4H°,
,,,,,,,,,,,,
3d4(a 3P)4p,y 4D°,1/2,131 287.18,,83,,,,14,3d4(a 3F)4p,4D°,
,,3/2,131 701.69,,82,,,,16,3d4(a 3F)4p,4D°,
,,5/2,132 297.55,,78,,,,20,3d4(a 3F)4p,4D°,
,,7/2,132 971.99,,69,,,,29,3d4(a 3F)4p,4D°,
,,,,,,,,,,,,
3d4(a 3F)4p,z 4G°,5/2,132 897.74,,72,,,,18,3d4(3G)4p,4G°,
,,7/2,133 059.84,,59,,,,15,3d4(3G)4p,4G°,
,,9/2,133 276.40,,45,,,,13,3d4(3G)4p,4G°,
,,11/2,133 736.64,,55,,,,22,3d4(3H)4p,4G°,
,,,,,,,,,,,,
3d4(3H)4p,z 4I°,9/2,133 086.57,,94,,,,,,,
,,11/2,133 455.64,,95,,,,,,,
,,13/2,133 804.28,,96,,,,,,,
,,15/2,134 136.60,,100,,,,,,,
,,,,,,,,,,,,
3d4(a 3P)4p,z 2S°,1/2,133 662.6,,50,,,,42,3d4(a 3P)4p,4P°,
,,,,,,,,,,,,
3d4(3H)4p,z 2G°,7/2,133 751.50,,49,,,,28,3d4(a 3F)4p,2G°,
,,9/2,133 949.54,,39,,,,27,3d4(a 3F)4p,2G°,
,,,,,,,,,,,,
3d4(a 3P)4p,y 4P°,3/2,134 638.39,,91,,,,,,,
,,1/2,134 789.10,,52,,,,32,3d4(a 3P)4p,2S°,
,,5/2,135 246.27,,90,,,,,,,
,,,,,,,,,,,,
3d4(a 3F)4p,y 4F°,3/2,135 116.80,,50,,,,30,3d4(a 3F)4p,2D°,
,,5/2,135 510.70,,50,,,,25,3d4(3H)4p,4G°,
,,7/2,135 869.76,,84,,,,8,3d4(3H)4p,4G°,
,,9/2,135 944.08,,86,,,,4,3d4(3H)4p,4G°,
,,,,,,,,,,,,
3d4(3H)4p,y 4G°,7/2,135 692.17,,52,,,,28,3d4(a 3F)4p,4G°,
,,5/2,135 709.90,,34,,,,24,3d4(a 3F)4p,4F°,
,,9/2,135 732.50,,54,,,,31,3d4(a 3F)4p,4G°,
,,11/2,135 781.09,,51,,,,40,3d4(a 3F)4p,4G°,
,,,,,,,,,,,,
3d4(a 3P)4p,z 2P°,3/2,135 859.0,,44,,,,28,3d4(a 3P)4p,4S°,
,,1/2,136 089.4,,71,,,,17,3d4(a 3P)4p,2S°,
,,,,,,,,,,,,
3d4(a 3F)4p,°,3/2,135 977.8,,33,2D°,,,26,3d4(a 3F)4p,4F°,
,,,,,,,,,,,,
3d4(a 3F)4p,z 2D°,5/2,136 053.9,,54,,,,18,3d4(a 3F)4p,4F°,
,,,,,,,,,,,,
3d4(3H)4p,z 2I°,11/2,136 421.50,,92,,,,4,3d4(1I)4p,2I°,
,,13/2,136 500.63,,93,,,,,,,
,,,,,,,,,,,,
3d4(a 3F)4p,x 4D°,5/2,136 796.61,,62,,,,18,3d4(a 3P)4p,4D°,
,,7/2,136 823.86,,51,,,,27,3d4(a 3P)4p,4D°,
,,3/2,136 888.70,,61,,,,15,3d4(a 3P)4p,4D°,
,,1/2,136 935.60,,78,,,,15,3d4(a 3P)4p,4D°,
,,,,,,,,,,,,
3d4(a 3P)4p,°,3/2,137 137.69,,39,4S°,,,30,3d4(a 3P)4p,2P°,
,,,,,,,,,,,,
3d4(a 3F)4p,z 2F°,5/2,137 282.40,,35,,,,28,3d4(3G)4p,2F°,
,,7/2,137 599.20,,38,,,,23,3d4(3G)4p,2F°,
,,,,,,,,,,,,
3d4(3H)4p,z 2H°,9/2,137 436.70,,71,,,,14,3d4(a 1G)4p,2H°,
,,11/2,137 908.20,,72,,,,11,3d4(a 1G)4p,2H°,
,,,,,,,,,,,,
3d4(3G)4p,y 4H°,7/2,137 660.24,,80,,,,17,3d4(3H)4p,4H°,
,,9/2,137 935.53,,76,,,,15,3d4(3H)4p,4H°,
,,11/2,138 245.09,,73,,,,13,3d4(3H)4p,4H°,
,,13/2,138 605.80,,83,,,,14,3d4(3H)4p,4H°,
,,,,,,,,,,,,
3d4(3G)4p,x 4F°,3/2,138 234.79,,68,,,,14,3d4(3D)4p,4F°,
,,9/2,138 312.70,,71,,,,13,3d4(3D)4p,4F°,
,,5/2,138 340.62,,50,,,,25,3d4(a 3P)4p,2D°,
,,7/2,138 362.80,,69,,,,14,3d4(3D)4p,4F°,
,,,,,,,,,,,,
3d4(a 3P)4p,y 2D°,3/2,138 692.0,,70,,,,13,3d4(a 3F)4p,2D°,
,,5/2,139 273.2,,55,,,,21,3d4(3G)4p,4F°,
,,,,,,,,,,,,
3d4(a 3F)4p,y 2G°,7/2,139 643.6,,53,,,,24,3d4(3H)4p,2G°,
,,9/2,139 857.40,,44,,,,24,3d4(3H)4p,2G°,
,,,,,,,,,,,,
3d4(3G)4p,y 2H°,11/2,139 902.06,,53,,,,23,3d4(3H)4p,2G°,
,,9/2,139 970.90,,48,,,,18,3d4(3G)4p,4G°,
,,,,,,,,,,,,
3d4(3G)4p,y 2F°,5/2,139 944.4,,42,,,,41,3d4(a 3F)4p,2F°,
,,7/2,140 401.1,,48,,,,40,3d4(a 3F)4p,2F°,
,,,,,,,,,,,,
3d4(3G)4p,x 4G°,5/2,140 207.09,,57,,,,25,3d4(3H)4p,4G°,
,,7/2,140 294.44,,62,,,,24,3d4(3H)4p,4G°,
,,9/2,140 557.46,,46,,,,17,3d4(3G)4p,2H°,
,,11/2,140 776.88,,47,,,,27,3d4(3G)4p,2H°,
,,,,,,,,,,,,
3d4(3G)4p,x 2G°,7/2,143 097.00,,74,,,,15,3d4(3H)4p,2G°,
,,9/2,143 161.50,,67,,,,17,3d4(3H)4p,2G°,
,,,,,,,,,,,,
3d4(3D)4p,w 4D°,1/2,143 127.00,,92,,,,,,,
,,3/2,143 148.40,,87,,,,,,,
,,5/2,143 209.80,,79,,,,12,3d4(3D)4p,4P°,
,,7/2,143 345.07,,88,,,,,,,
,,,,,,,,,,,,
3d4(a 1G)4p,x 2F°,7/2,144 129.8,,82,,,,4,3d4(3G)4p,2F°,
,,5/2,144 718.4,,81,,,,5,3d4(3G)4p,2F°,
,,,,,,,,,,,,
3d4(3D)4p,x 4P°,5/2,144 146.50,,81,,,,10,3d4(3D)4p,4D°,
,,3/2,144 619.00,,82,,,,8,3d4(3D)4p,4D°,
,,1/2,144 832.90,,93,,,,,,,
,,,,,,,,,,,,
3d4(1I)4p,y 2I°,13/2,144 258.5,,74,,,,23,3d4(1I)4p,2K°,
,,11/2,144 311.0,,90,,,,7,3d4(a 1G)4p,2H°,
,,,,,,,,,,,,
3d4(a 1G)4p,x 2H°,9/2,144 522.30,,80,,,,10,3d4(3H)4p,2H°,
,,11/2,144 880.10,,76,,,,10,3d4(3H)4p,2H°,
,,,,,,,,,,,,
3d4(3D)4p,w 4F°,3/2,144 525.50,,70,,,,16,3d4(3G)4p,4F°,
,,5/2,144 672.38,,72,,,,16,3d4(3G)4p,4F°,
,,7/2,144 817.68,,77,,,,16,3d4(3G)4p,4F°,
,,9/2,144 959.74,,83,,,,16,3d4(3G)4p,4F°,
,,,,,,,,,,,,
3d4(3D)4p,y 2P°,1/2,144 879.1,,45,,,,47,3d4(a 1S)4p,2P°,
,,3/2,145 120.8,,56,,,,38,3d4(a 1S)4p,2P°,
,,,,,,,,,,,,
3d4(1I)4p,z 2K°,13/2,145 008.36,,77,,,,23,3d4(1I)4p,2I°,
,,15/2,145 455.10,,100,,,,,,,
,,,,,,,,,,,,
3d4(a 1G)4p,w 2G°,7/2,146 591.9,,80,,,,10,3d4(3G)4p,2G°,
,,9/2,146 788.4,,78,,,,15,3d4(3G)4p,2G°,
,,,,,,,,,,,,
3d4(1I)4p,w 2H°,11/2,148 206.90,,85,,,,9,3d4(3G)4p,2H°,
,,9/2,148 560.50,,87,,,,9,3d4(3G)4p,2H°,
,,,,,,,,,,,,
3d4(3D)4p,w 2F°,7/2,148 355.60,,73,,,,9,3d4(3G)4p,2F°,
,,5/2,148 568.40,,73,,,,11,3d4(3G)4p,2F°,
,,,,,,,,,,,,
3d4(3D)4p,x 2D°,5/2,149 234.40,,58,,,,30,3d4(a 1D)4p,2D°,
,,3/2,149 540.5,,64,,,,15,3d4(a 1D)4p,2D°,
,,,,,,,,,,,,
3d4(a 1S)4p,x 2P°,3/2,149 512.90,,43,,,,24,3d4(3D)4p,2P°,
,,1/2,149 621.00,,41,,,,42,3d4(3D)4p,2P°,
,,,,,,,,,,,,
