Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
3d5(2F2)4s,3F,3,163 752.9,,98,,,,1,3d5(2F1)4s,3F,
,,4,163 870.6,,61,,,,32,3d5(2G2)4s,1G,
,,,,,,,,,,,,
3d5(6S)4p,5P°,3,164 803.2,,97,,,,1,3d5(4D)4p,5P°,
,,2,165 226.2,,97,,,,1,3d5(4D)4p,5P°,
,,1,165 488.5,,98,,,,1,3d5(4D)4p,5P°,
,,,,,,,,,,,,
3d5(2F2)4s,1F,3,167 856.5,,97,,,,1,3d5(4F)4s,3F,
,,,,,,,,,,,,
3d5(2S)4s,3S,1,169 800.9,,100,,,,,,,
,,,,,,,,,,,,
3d5(2D2)4s,3D,2,178 396.5,,100,,,,,,,
,,3,178 439.4,,99,,,,,,,
,,,,,,,,,,,,
3d5(2D2)4s,1D,2,182 501.4,,100,,,,,,,
,,,,,,,,,,,,
3d5(2G1)4s,3G,5,188 138.4,,100,,,,,,,
,,4,188 164.4,,100,,,,,,,
,,3,188 179.4,,100,,,,,,,
,,,,,,,,,,,,
3d5(2G1)4s,1G,4,192 204.9,,100,,,,,,,
,,,,,,,,,,,,
3d5(4G)4p,5G°,2,192 352.8,,94,,,,3,3d5(4G)4p,3F°,
,,3,192 382.0,,88,,,,7,3d5(4G)4p,5H°,
,,4,192 424.3,,85,,,,10,3d5(4G)4p,5H°,
,,5,192 490.2,,85,,,,11,3d5(4G)4p,5H°,
,,6,192 600.3,,88,,,,8,3d5(4G)4p,5H°,
,,,,,,,,,,,,
3d5(4G)4p,5H°,4,194 351.6,,87,,,,9,3d5(4G)4p,5G°,
,,5,194 644.3,,85,,,,10,3d5(4G)4p,5G°,
,,6,194 958.0,,89,,,,9,3d5(4G)4p,5G°,
,,7,195 222.8,,100,,,,,,,
,,,,,,,,,,,,
3d5(4G)4p,5F°,5,195 558.9,,85,,,,5,3d5(4D)4p,5F°,
,,3,195 712.4,,50,,,,21,3d5(4P)4p,5D°,
,,4,195 770.5,,77,,,,8,3d5(4D)4p,5F°,
,,1,196 490.2,,73,,,,11,3d5(4P)4p,5D°,
,,2,196 550.2,,55,,,,23,3d5(4P)4p,5D°,
,,,,,,,,,,,,
3d5(4P)4p,5D°,2,195 606.5,,44,,,,25,3d5(4G)4p,5F°,
,,1,195 703.1,,63,,,,18,3d5(4D)4p,5D°,
,,3,196 636.2,,42,,,,33,3d5(4G)4p,5F°,
,,4,197 322.8,,69,,,,18,3d5(4D)4p,5D°,
,,,,,,,,,,,,
3d5(4P)4p,5S°,2,196 846.6,,83,,,,6,3d5(4P)4p,3P°,
,,,,,,,,,,,,
3d5(4P)4p,°,3,198 048.9,,33,5P°,,,33,3d5(4G)4p,3F°,
,,,,,,,,,,,,
3d5(4G)4p,3F°,2,198 084.5,,87,,,,3,3d5(4F)4p,3F°,
,,3,198 242.2,,55,,,,21,3d5(4P)4p,5P°,
,,4,198 390.5,,89,,,,4,3d5(4F)4p,3F°,
,,,,,,,,,,,,
3d5(4P)4p,5P°,2,198 499.6,,62,,,,23,3d5(4D)4p,5P°,
,,1,198 670.1,,73,,,,15,3d5(4D)4p,5P°,
,,,,,,,,,,,,
3d5(4G)4p,3H°,6,198 567.8,,94,,,,2,3d5(4G)4p,5H°,
,,5,198 890.9,,95,,,,2,3d5(2I)4p,3H°,
,,4,199 092.4,,96,,,,2,3d5(2I)4p,3H°,
,,,,,,,,,,,,
3d5(4P)4p,3P°,2,199 817.3,,58,,,,19,3d5(4D)4p,3P°,
,,1,200 193.8,,62,,,,19,3d5(4D)4p,3P°,
,,0,200 506.1,,70,,,,20,3d5(4D)4p,3P°,
,,,,,,,,,,,,
3d5(4D)4p,5F°,1,200 723.5,,81,,,,14,3d5(4G)4p,5F°,
,,2,200 911.1,,80,,,,12,3d5(4G)4p,5F°,
,,3,201 176.2,,80,,,,9,3d5(4G)4p,5F°,
,,4,201 524.1,,83,,,,8,3d5(4G)4p,5F°,
,,5,201 874.2,,91,,,,6,3d5(4G)4p,5F°,
,,,,,,,,,,,,
3d5(4G)4p,3G°,3,202 849.1,,49,,,,22,3d5(4D)4p,5D°,
,,4,202 883.7,,93,,,,2,3d5(2F1)4p,3G°,
,,5,202 898.8,,94,,,,1,3d5(2F1)4p,3G°,
,,,,,,,,,,,,
3d5(4G)4p,°,3,203 059.0,,44,3G°,,,25,3d5(4D)4p,5D°,
,,,,,,,,,,,,
3d5(4D)4p,5D°,2,203 370.3,,53,,,,17,3d5(4P)4p,3D°,
,,4,203 398.0,,72,,,,20,3d5(4P)4p,5D°,
,,1,203 633.3,,52,,,,16,3d5(4P)4p,5D°,
,,0,204 177.8,,69,,,,21,3d5(4P)4p,5D°,
,,,,,,,,,,,,
3d5(4P)4p,3D°,3,203 560.6,,54,,,,15,3d5(4D)4p,5P°,
,,2,203 833.4,,60,,,,18,3d5(4D)4p,5P°,
,,1,203 972.8,,49,,,,34,3d5(4D)4p,5P°,
,,,,,,,,,,,,
3d5(4D)4p,°,1,204 485.3,,34,5P°,,,26,3d5(4P)4p,3D°,
,,,,,,,,,,,,
3d5(4D)4p,5P°,2,204 792.8,,43,,,,18,3d5(4P)4p,5P°,
,,,,,,,,,,,,
3d5(4D)4p,°,3,204 845.1,,30,3D°,,,24,3d5(4D)4p,5P°,
,,,,,,,,,,,,
3d5(4D)4p,3D°,3,205 928.7,,51,,,,23,3d5(4D)4p,5P°,
,,2,205 999.7,,80,,,,8,3d5(4F)4p,3D°,
,,1,206 167.2,,77,,,,9,3d5(4F)4p,3D°,
,,,,,,,,,,,,
3d5(4D)4p,3F°,4,206 648.3,,86,,,,5,3d5(2G2)4p,3F°,
,,3,206 993.6,,81,,,,6,3d5(4P)4p,3D°,
,,2,207 052.6,,84,,,,5,3d5(4P)4p,3D°,
,,,,,,,,,,,,
3d5(4P)4p,3S°,1,208 310.4,,94,,,,2,3d5(4D)4p,3P°,
,,,,,,,,,,,,
3d5(4D)4p,3P°,0,210 392.2,,74,,,,21,3d5(4P)4p,3P°,
,,1,210 724.9,,69,,,,20,3d5(4P)4p,3P°,
,,2,211 151.7,,67,,,,24,3d5(4P)4p,3P°,
,,,,,,,,,,,,
3d5(2I)4p,3K°,6,211 275.3,,71,,,,25,3d5(2I)4p,3I°,
,,7,211 556.6,,59,,,,33,3d5(2I)4p,3I°,
,,8,212 946.5,,100,,,,,,,
,,,,,,,,,,,,
3d5(2I)4p,3I°,5,211 722.0,,70,,,,16,3d5(2I)4p,1H°,
,,6,212 602.7,,61,,,,26,3d5(2I)4p,3K°,
,,7,213 131.5,,63,,,,36,3d5(2I)4p,3K°,
,,,,,,,,,,,,
3d5(2F1)4p,°,2,213 158.6,,25,3F°,,,21,3d5(2D3)4p,3F°,
,,,,,,,,,,,,
3d5(2I)4p,1H°,5,213 735.1,,59,,,,24,3d5(2I)4p,3I°,
,,,,,,,,,,,,
3d5(2D3)4p,3F°,3,213 897.9,,40,,,,25,3d5(2F1)4p,3F°,
,,4,215 006.4,,42,,,,26,3d5(2F1)4p,3F°,
,,,,,,,,,,,,
3d5(2D3)4p,°,2,214 059.3,,29,3F°,,,22,3d5(2D3)4p,1D°,
,,,,,,,,,,,,
3d5(2I)4p,3H°,6,214 260.5,,82,,,,10,3d5(2I)4p,3I°,
,,5,214 739.1,,82,,,,8,3d5(2I)4p,1H°,
,,4,214 831.6,,86,,,,4,3d5(2G2)4p,3H°,
,,,,,,,,,,,,
3d5(2I)4p,1K°,7,214 352.1,,93,,,,4,3d5(2I)4p,3K°,
,,,,,,,,,,,,
3d5(2D3)4p,3P°,2,216 640.4,,46,,,,14,3d5(2D1)4p,3P°,
,,,,,,,,,,,,
3d5(2D1)4s,3D,3,216 651.1,,77,,,,23,3d5(2D3)4s,3D,
,,2,216 686.5,,77,,,,23,3d5(2D3)4s,3D,
,,1,216 721.1,,76,,,,23,3d5(2D3)4s,3D,
,,,,,,,,,,,,
3d5(2F1)4p,1G°,4,216 717.8,,47,,,,13,3d5(2H)4p,1G°,
,,,,,,,,,,,,
3d5(2D3)4p,°,1,216 974.3,,38,3P°,,,23,3d5(2D3)4p,3D°,
,,,,,,,,,,,,
3d5(2F1)4p,3G°,3,217 060.7,,45,,,,21,3d5(2D3)4p,1F°,
,,4,218 414.0,,47,,,,35,3d5(2F1)4p,3F°,
,,5,218 703.5,,67,,,,27,3d5(4F)4p,5G°,
,,,,,,,,,,,,
3d5(4F)4p,5G°,3,217 508.9,,48,,,,23,3d5(2D3)4p,3D°,
,,4,217 830.7,,79,,,,3,3d5(4F)4p,5F°,
,,5,217 963.0,,58,,,,20,3d5(2F1)4p,3G°,
,,6,218 733.8,,81,,,,15,3d5(2I)4p,1I°,
,,,,,,,,,,,,
3d5(4F)4p,°,3,217 585.4,,28,5G°,,,23,3d5(2F1)4p,3D°,
,,,,,,,,,,,,
3d5(2D3)4p,°,1,217 951.4,,36,3D°,,,24,3d5(2D3)4p,3P°,
,,,,,,,,,,,,
3d5(2D3)4p,3D°,2,217 993.0,,46,,,,15,3d5(2D1)4p,3D°,
,,,,,,,,,,,,
3d5(2F1)4p,3D°,3,218 321.2,,51,,,,10,3d5(2F2)4p,3D°,
,,1,219 260.1,,56,,,,19,3d5(2D3)4p,1P°,
,,,,,,,,,,,,
3d5(2I)4p,1I°,6,218 560.2,,76,,,,13,3d5(4F)4p,5G°,
,,,,,,,,,,,,
3d5(4F)4p,5F°,4,218 868.5,,57,,,,25,3d5(4F)4p,5D°,
,,3,218 876.3,,65,,,,22,3d5(4F)4p,5D°,
,,2,219 052.1,,50,,,,20,3d5(4F)4p,5D°,
,,5,219 231.6,,78,,,,6,3d5(4F)4p,5G°,
,,1,219 388.2,,76,,,,7,3d5(4F)4p,5D°,
,,,,,,,,,,,,
3d5(2F1)4p,°,2,219 453.9,,35,3D°,,,16,3d5(2F1)4p,3F°,
,,,,,,,,,,,,
3d5(2F1)4p,°,4,219 694.2,,23,3F°,,,22,3d5(2D3)4p,3F°,
,,,,,,,,,,,,
3d5(2F1)4p,°,2,219 969.0,,31,3F°,,,21,3d5(2F1)4p,3D°,
,,,,,,,,,,,,
3d5(2F1)4p,°,3,220 052.2,,31,3F°,,,14,3d5(2D3)4p,1F°,
,,,,,,,,,,,,
3d5(2G2)4p,3H°,4,220 145.6,,37,,,,36,3d5(2H)4p,3H°,
,,5,226 983.3,,41,,,,34,3d5(2H)4p,3H°,
,,6,227 737.1,,47,,,,38,3d5(2H)4p,3H°,
,,,,,,,,,,,,
3d5(2H)4p,3H°,5,220 423.7,,37,,,,40,3d5(2G2)4p,3H°,
,,6,221 274.1,,43,,,,38,3d5(2G2)4p,3H°,
,,4,226 950.3,,46,,,,40,3d5(2G2)4p,3H°,
,,,,,,,,,,,,
3d5(4F)4p,5D°,4,220 535.2,,61,,,,27,3d5(4F)4p,5F°,
,,3,220 887.1,,66,,,,21,3d5(4F)4p,5F°,
,,2,221 058.4,,70,,,,13,3d5(4F)4p,5F°,
,,1,221 062.2,,80,,,,7,3d5(4F)4p,5F°,
,,,,,,,,,,,,
3d5(2D1)4s,1D,2,220 548.5,,77,,,,23,3d5(2D3)4s,1D,
,,,,,,,,,,,,
3d5(2H)4p,3G°,5,220 950.8,,51,,,,14,3d5(2G2)4p,3G°,
,,4,221 068.1,,46,,,,15,3d5(2F2)4p,3G°,
,,3,221 287.7,,43,,,,17,3d5(2F2)4p,3G°,
,,,,,,,,,,,,
3d5(2D3)4p,1P°,1,222 336.1,,48,,,,21,3d5(2F1)4p,3D°,
,,,,,,,,,,,,
3d5(2H)4p,3I°,5,222 848.1,,87,,,,4,3d5(2H)4p,3H°,
,,6,223 382.3,,84,,,,6,3d5(2H)4p,1I°,
,,7,223 981.3,,96,,,,2,3d5(2I)4p,3I°,
,,,,,,,,,,,,
3d5(2G2)4p,°,4,222 994.2,,24,1G°,,,18,3d5(2G2)4p,3G°,
,,,,,,,,,,,,
3d5(4F)4p,3G°,5,223 041.1,,61,,,,19,3d5(2G2)4p,3G°,
,,3,223 192.4,,45,,,,38,3d5(2G2)4p,3G°,
,,4,223 260.7,,47,,,,14,3d5(2G2)4p,3G°,
,,,,,,,,,,,,
3d5(2F1)4p,1D°,2,223 381.4,,56,,,,29,3d5(2D3)4p,1D°,
,,,,,,,,,,,,
3d5(2F1)4p,1F°,3,224 038.7,,43,,,,21,3d5(2G2)4p,3F°,
,,,,,,,,,,,,
3d5(2G2)4p,°,3,224 411.0,,38,3F°,,,25,3d5(2F1)4p,1F°,
,,,,,,,,,,,,
3d5(2G2)4p,3F°,2,224 463.9,,56,,,,18,3d5(4F)4p,3F°,
,,4,224 611.0,,56,,,,11,3d5(2G2)4p,1G°,
,,,,,,,,,,,,
3d5(2H)4p,1I°,6,225 479.8,,81,,,,8,3d5(2H)4p,3H°,
,,,,,,,,,,,,
3d5(4F)4p,3D°,2,225 553.4,,64,,,,7,3d5(2F2)4p,3D°,
,,3,225 666.3,,61,,,,10,3d5(2F2)4p,3D°,
,,1,225 780.8,,81,,,,7,3d5(4D)4p,3D°,
,,,,,,,,,,,,
3d5(4F)4p,3F°,4,225 938.7,,63,,,,25,3d5(2F2)4p,3F°,
,,3,226 367.6,,63,,,,20,3d5(2F2)4p,3F°,
,,2,226 646.1,,57,,,,24,3d5(2F2)4p,3F°,
,,,,,,,,,,,,
3d5(2G2)4p,3G°,5,227 971.6,,31,,,,22,3d5(2F2)4p,3G°,
,,4,228 208.5,,34,,,,26,3d5(2F2)4p,3G°,
,,3,228 214.7,,34,,,,28,3d5(2F2)4p,3G°,
,,,,,,,,,,,,
3d5(2F2)4p,1G°,4,228 448.1,,35,,,,15,3d5(2G2)4p,1G°,
,,4,234 584.4,,39,,,,38,3d5(2H)4p,1G°,
,,,,,,,,,,,,
3d5(2F2)4p,3F°,2,228 736.2,,34,,,,18,3d5(2G2)4p,3F°,
,,3,228 809.0,,55,,,,11,3d5(2G2)4p,1F°,
,,4,229 414.0,,51,,,,12,3d5(4F)4p,3F°,
,,,,,,,,,,,,
3d5(2G2)4p,1H°,5,229 056.6,,62,,,,20,3d5(2H)4p,1H°,
,,,,,,,,,,,,
3d5(2G2)4p,1F°,3,229 388.2,,63,,,,6,3d5(2F2)4p,3F°,
,,,,,,,,,,,,
3d5(2H)4p,1H°,5,229 583.3,,70,,,,23,3d5(2G2)4p,1H°,
,,,,,,,,,,,,
3d5(2F2)4p,1D°,2,229 890.3,,63,,,,23,3d5(2F2)4p,3F°,
,,,,,,,,,,,,
3d5(2F2)4p,3G°,3,231 876.6,,42,,,,40,3d5(2H)4p,3G°,
,,4,232 288.1,,51,,,,35,3d5(2H)4p,3G°,
,,5,232 615.6,,60,,,,30,3d5(2H)4p,3G°,
,,,,,,,,,,,,
3d5(2F2)4p,3D°,1,232 133.7,,75,,,,9,3d5(2F1)4p,3D°,
,,2,232 257.0,,75,,,,10,3d5(2F1)4p,3D°,
,,3,232 265.7,,66,,,,11,3d5(2F1)4p,3D°,
,,,,,,,,,,,,
3d5(2S)4p,3P°,1,233 158.8,,77,,,,12,3d5(2D2)4p,3P°,
,,2,234 109.4,,79,,,,15,3d5(2D2)4p,3P°,
,,,,,,,,,,,,
3d5(2F2)4p,1F°,3,236 240.4,,90,,,,4,3d5(2F1)4p,1F°,
,,,,,,,,,,,,
3d5(2S)4p,1P°,1,236 588.9,,74,,,,17,3d5(2D2)4p,1P°,
,,,,,,,,,,,,
3d5(2D2)4p,3F°,2,243 999.4,,68,,,,22,3d5(2D2)4p,3D°,
,,3,244 285.6,,53,,,,29,3d5(2D2)4p,3D°,
,,4,245 323.9,,92,,,,5,3d5(2G2)4p,3F°,
,,,,,,,,,,,,
3d5(2D2)4p,3D°,2,244 801.0,,67,,,,22,3d5(2D2)4p,3F°,
,,3,245 361.7,,61,,,,33,3d5(2D2)4p,3F°,
,,,,,,,,,,,,
3d5(2D2)4p,1F°,3,246 316.4,,76,,,,11,3d5(2G1)4p,1F°,
,,,,,,,,,,,,
3d5(2D2)4p,3P°,2,247 091.4,,76,,,,15,3d5(2S)4p,3P°,
,,1,247 130.4,,78,,,,14,3d5(2S)4p,3P°,
,,0,247 138.4,,85,,,,13,3d5(2S)4p,3P°,
,,,,,,,,,,,,
3d5(2D2)4p,1P°,1,248 390.4,,74,,,,16,3d5(2S)4p,1P°,
,,,,,,,,,,,,
3d5(2D2)4p,1D°,2,249 444.1,,89,,,,5,3d5(2F2)4p,1D°,
,,,,,,,,,,,,
3d5(2G1)4p,3H°,4,253 119.4,,79,,,,11,3d5(2G1)4p,3G°,
,,5,253 446.4,,81,,,,12,3d5(2G1)4p,3G°,
,,6,254 347.1,,98,,,,2,3d5(2I)4p,3H°,
,,,,,,,,,,,,
3d5(2G1)4p,3F°,4,253 472.8,,75,,,,11,3d5(2G1)4p,3H°,
,,3,253 921.8,,56,,,,37,3d5(2G1)4p,3G°,
,,2,254 722.1,,92,,,,5,3d5(2D1)4p,3F°,
,,,,,,,,,,,,
3d5(2G1)4p,3G°,3,254 903.0,,60,,,,36,3d5(2G1)4p,3F°,
,,4,255 138.9,,82,,,,9,3d5(2G1)4p,3F°,
,,5,255 307.3,,82,,,,14,3d5(2G1)4p,3H°,
,,,,,,,,,,,,
3d5(2G1)4p,1H°,5,257 289.6,,92,,,,3,3d5(2G1)4p,3G°,
,,,,,,,,,,,,
3d5(2G1)4p,1G°,4,257 680.7,,94,,,,2,3d5(2G1)4p,3F°,
,,,,,,,,,,,,
3d5(2G1)4p,1F°,3,258 840.7,,81,,,,10,3d5(2D2)4p,1F°,
,,,,,,,,,,,,
3d5(2P)4p,3P°,1,267 508.7,,75,,,,20,3d5(2D1)4p,3P°,
,,2,268 151.4,,74,,,,21,3d5(2D1)4p,3P°,
,,,,,,,,,,,,
3d5(2P)4p,3D°,2,272 522.3,,59,,,,27,3d5(2P)4p,1D°,
,,1,272 523.8,,91,,,,5,3d5(2D1)4p,3D°,
,,3,273 632.6,,90,,,,6,3d5(2D1)4p,3D°,
,,,,,,,,,,,,
3d5(2P)4p,1D°,2,274 104.5,,51,,,,32,3d5(2P)4p,3D°,
,,,,,,,,,,,,
3d5(2P)4p,3S°,1,275 594.1,,95,,,,4,3d5(2P)4p,1P°,
,,,,,,,,,,,,
3d5(2D1)4p,3F°,2,282 925.2,,66,,,,21,3d5(2D3)4p,3F°,
,,3,283 211.1,,63,,,,20,3d5(2D3)4p,3F°,
,,4,284 089.0,,72,,,,23,3d5(2D3)4p,3F°,
,,,,,,,,,,,,
3d5(2D1)4p,3D°,1,284 496.9,,71,,,,22,3d5(2D3)4p,3D°,
,,2,285 045.7,,64,,,,19,3d5(2D3)4p,3D°,
,,3,285 642.1,,63,,,,19,3d5(2D3)4p,3D°,
,,,,,,,,,,,,
3d5(2D1)4p,1D°,2,285 928.4,,47,,,,16,3d5(2P)4p,1D°,
,,,,,,,,,,,,
3d5(2D1)4p,3P°,2,287 239.6,,45,,,,20,3d5(2P)4p,3P°,
,,,,,,,,,,,,
3d5(2D1)4p,1F°,3,287 698.3,,70,,,,22,3d5(2D3)4p,1F°,
,,,,,,,,,,,,
Co V (3d5 6S5/2),Limit,---,[413 500],800,,,,,,,,"L7185,L241"
