Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
4d.4f,3D*,1,,123341.25,,,  86     or  :    64  4d.(2D<3/2>).4f 2[3/2]*  ,
4d.4f,3D*,2,,123404.87,,,  75     or  :    45  4d.(2D<3/2>).4f 2[3/2]*  ,
4d.4f,3D*,3,,123965.78,,,  53     or  :    71  4d.(2D<5/2>).4f 2[5/2]*  ,
4d.4f,3P*,2,,124468.46,,,  74     or  :    77  4d.(2D<5/2>).4f 2[3/2]*  ,
4d.4f,3P*,1,,124686.87,,,  86     or  :    50  4d.(2D<5/2>).4f 2[1/2]*  ,
4d.4f,3P*,0,,124835.07,,,  97     or  :    97  4d.(2D<5/2>).4f 2[1/2]*  ,
4d.4f,1H*,5,,125438.69,,,  96     or  :    64  4d.(2D<5/2>).4f 2[11/2]* ,
5p2,3P,0,,125995.50,,,                                               ,
5p2,3P,1,,126853.90,,,                                               ,
5p2,3P,2,,128600.30,,,                                               ,
5p2,1D,2,,126560.87,,,                                               ,
4d.4f,1P*,1,,126841.12,,,  78     or  :    38  4d.(2D<5/2>).4f 2[1/2]*  ,
5s.6s,3S,1,,138155.10,,,                                               ,
5s.5d,3D,1,,139902.92,,,                                               ,
5s.5d,3D,2,,139953.93,,,                                               ,
5s.5d,3D,3,,140268.62,,,                                               ,
4d.5f,1G*,4,,144183.8,,,  47     or  :    60  4d.(2D<3/2>).5f 2[9/2]*  ,
4d.5f,3F*,2,,144508.7,,,  79     or  :    89  4d.(2D<3/2>).5f 2[5/2]*  ,
4d.5f,3F*,3,,144639.9,,,  69     or  :    57  4d.(2D<3/2>).5f 2[5/2]*  ,
4d.5f,3F*,4,,145364.0,,,  41     or  :    43  4d.(2D<5/2>).5f 2[7/2]*  ,
4d.5f,3H*,4,,144516.4,,,  48     or  :    50  4d.(2D<3/2>).5f 2[7/2]*  ,
4d.5f,3H*,5,,144819.7,,,  91     or  :    73  4d.(2D<3/2>).5f 2[9/2]*  ,
4d.(2D<5/2>).7p,2[5/2]*,3,,145123.6,,,  52     or  :    46  4d.7p           3D*      ,
4d.5f,3G*,3,,145365.7,,,  30     or  :    36  4d.(2D<3/2>).5f 2[7/2]*  ,
4d.5f,3G*,4,,146120.5,,,  83     or  :    59  4d.(2D<5/2>).5f 2[9/2]*  ,
4d.5f,3G*,5,,146337.6,,,  93     or  :    89  4d.(2D<5/2>).5f 2[9/2]*  ,
4d.5f,1D*,2,,145509.7,,,  45     or  :    27  4d.(2D<5/2>).5f 2[5/2]*  ,
4d.(2D<5/2>).7p,2[7/2]*,3,,145687.1,,,  53     or  :    48  4d.7p           1F*      ,
4d.5f,3D*,1,,146130.1,,,  69     or  :    67  4d.(2D<3/2>).5f 2[3/2]*  ,
4d.5f,3D*,2,,146379.3,,,  47     or  :    56  4d.(2D<5/2>).5f 2[5/2]*  ,
4d.5f,3D*,3,,146402.9,,,  40     or  :    51  4d.(2D<5/2>).5f 2[7/2]*  ,
5p2,1S,0,,146292.56,,,                                               ,
4d.(2D<3/2>).5g,2[9/2],5,,146803.55,,, 100     or  :    38  4d.5g           3H       ,
4d.(2D<3/2>).5g,2[9/2],4,,146812.05,,,  99     or  :    73  4d.5g           3H       ,
4d.(2D<3/2>).5g,2[7/2],3,,146907.91,,,  99     or  :    63  4d.5g           3G       ,
4d.(2D<3/2>).5g,2[7/2],4,,146911.81,,,  99     or  :    37  4d.5g           3F       ,
4d.5f,1F*,3,,146914.4,,,  43     or  :    63  4d.(2D<5/2>).5f 2[5/2]*  ,
4d.5f,3P*,2,,147048.2,,,  53     or  :    82  4d.(2D<5/2>).5f 2[3/2]*  ,
4d.5f,3P*,1,,147132.6,,,  73     or  :    52  4d.(2D<5/2>).5f 2[3/2]*  ,
4d.5f,3P*,0,,147200.2,,,  96     or  :    96  4d.(2D<5/2>).5f 2[1/2]*  ,
4d.(2D<3/2>).5g,2[11/2],5,,147110.83,,,  98     or  :    75  4d.5g           3I       ,
4d.(2D<3/2>).5g,2[11/2],6,,147129.42,,,  97     or  :    43  4d.5g           3I       ,
