Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
3d6(1G2)4s,c 2G,9/2,33 466.4943,0.0019,1.099,65,,,,34,3d6(1G1)4s,2G,"L18349,L18361c138"
,,7/2,33 501.2957,0.0019,0.88,64,,,,33,3d6(1G1)4s,2G,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3D)4s,b 2D,3/2,36 126.412,0.002,0.799,96,,,,2,3d6(1D2)4s,2D,"L18349,L18361c138"
,,5/2,36 252.931,0.002,1.179,98,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1S2)4s,a 2S,1/2,37 227.277,0.004,2.06,76,,,,23,3d6(1S1)4s,2S,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1D2)4s,c 2D,5/2,38 164.220,0.003,1.176,75,,,,22,3d6(1D1)4s,2D,"L18349,L18361c138"
,,3/2,38 214.503,0.003,0.79,74,,,,21,3d6(1D1)4s,2D,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4p,z 6D°,9/2,38 458.9934,0.0016,1.542,99,,,,,,,"L18349,L18361c138"
,,7/2,38 660.0537,0.0016,1.584,97,,,,,,,"L18349,L18361c138"
,,5/2,38 858.9696,0.0016,1.653,98,,,,,,,"L18349,L18361c138"
,,3/2,39 013.2160,0.0017,1.86,99,,,,,,,"L18349,L18361c138"
,,1/2,39 109.3161,0.0017,3.35,99,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4p,z 6F°,11/2,41 968.0698,0.0018,,99,,,,,,,"L18349,L18361c138"
,,9/2,42 114.8380,0.0017,1.43,96,,,,2,3d6(5D)4p,4F°,"L18349,L18361c138"
,,7/2,42 237.0575,0.0018,1.399,95,,,,2,3d6(5D)4p,4F°,"L18349,L18361c138"
,,5/2,42 334.8444,0.0018,1.304,97,,,,,,,"L18349,L18361c138"
,,3/2,42 401.3198,0.0018,1.04,98,,,,,,,"L18349,L18361c138"
,,1/2,42 439.8511,0.0018,-0.647,98,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4p,z 6P°,7/2,42 658.2444,0.0018,1.702,92,,,,4,3d54s(7S)4p,6P°,"L18349,L18361c138"
,,5/2,43 238.6066,0.0018,1.869,94,,,,4,3d54s(7S)4p,6P°,"L18349,L18361c138"
,,3/2,43 620.9842,0.0018,2.398,95,,,,4,3d54s(7S)4p,6P°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4p,z 4F°,9/2,44 232.5398,0.0018,1.32,95,,,,3,3d6(5D)4p,6F°,"L18349,L18361c138"
,,7/2,44 753.8179,0.0019,1.29,81,,,,15,3d6(5D)4p,4D°,"L18349,L18361c138"
,,5/2,45 079.9019,0.0019,1.069,84,,,,12,3d6(5D)4p,4D°,"L18349,L18361c138"
,,3/2,45 289.8248,0.0019,0.445,90,,,,7,3d6(5D)4p,4D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4p,z 4D°,7/2,44 446.9051,0.0018,1.40,80,,,,15,3d6(5D)4p,4F°,"L18349,L18361c138"
,,5/2,44 784.7859,0.0019,1.35,83,,,,12,3d6(5D)4p,4F°,"L18349,L18361c138"
,,3/2,45 044.1916,0.0019,1.15,88,,,,8,3d6(5D)4p,4F°,"L18349,L18361c138"
,,1/2,45 206.4704,0.0019,-0.021,95,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1F)4s,c 2F,7/2,44 915.057,0.002,,98,,,,,,,"L18349,L18361c138"
,,5/2,44 929.532,0.002,,98,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4p,z 4P°,5/2,46 967.4751,0.0019,1.592,96,,,,,,,"L18349,L18361c138"
,,3/2,47 389.809,0.002,1.717,96,,,,,,,"L18349,L18361c138"
,,1/2,47 626.110,0.002,2.70,96,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d7,d 2D1,3/2,47 674.728,0.003,,77,,,,22,3d7,2D2,"L18349,L18361c138"
,,5/2,48 039.109,0.002,,75,,,,24,3d7,2D2,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3P1)4s,c 4P,1/2,49 100.956,0.004,,62,,,,37,3d6(3P2)4s,4P,"L18349,L18361c138"
