Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
3d6(5D)5s,e 6D,9/2,77 861.650,0.003,,100,,,,,,,"L18349,L18361c138"
,,7/2,78 237.709,0.003,,99,,,,,,,"L18349,L18361c138"
,,5/2,78 525.442,0.003,,99,,,,,,,"L18349,L18361c138"
,,3/2,78 725.822,0.003,,99,,,,,,,"L18349,L18361c138"
,,1/2,78 844.031,0.003,,100,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d54s2,2G2,7/2,78 185.004,0.004,,97,,,,2,3d5(2G2)4p2,2G,"L18349,L18361c138"
,,9/2,78 577.263,0.003,,73,,,,24,3d54s2,2H,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1D2)4p,w 2D°,3/2,78 487.144,0.005,,71,,,,17,3d6(1D1)4p,2D°,"L18349,L18361c138"
,,5/2,78 690.860,0.004,,68,,,,16,3d6(1D1)4p,2D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1D2)4p,w 2P°,1/2,78 841.872,0.008,,39,,,,28,3d6(1S2)4p,2P°,"L18349,L18361c138"
,,3/2,79 243.462,0.003,,32,3d6(1S2)4p,2P°,,30,3d6(1D2)4p,2P°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(6S)4s4p(1P°),x 6P°,3/2,79 245.926,0.004,,50,3d54s(5S)4p,6P°,,42,3d54s(7S)4p,6P°,"L18349,L18361c138"
,,5/2,79 284.919,0.004,,51,3d54s(5S)4p,6P°,,42,3d54s(7S)4p,6P°,"L18349,L18361c138"
,,7/2,79 331.361,0.004,,53,3d54s(5S)4p,6P°,,40,3d54s(7S)4p,6P°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)5s,e 4D,7/2,79 439.496,0.003,,99,,,,,,,"L18349,L18361c138"
,,5/2,79 885.523,0.003,,99,,,,,,,"L18349,L18361c138"
,,3/2,80 178.005,0.003,,99,,,,,,,"L18349,L18361c138"
,,1/2,80 346.060,0.003,,100,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d54s2,2F2,5/2,81 639.253,0.003,,97,,,,2,3d5(2F2)4p2,2F,"L18349,L18361c138"
,,7/2,81 734.733,0.003,,96,,,,2,3d5(2F2)4p2,2F,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4d,e 6F,11/2,82 853.704,0.003,,98,,,,2,3d6(5D)4d,6G,"L18349,L18361c138"
,,9/2,82 978.717,0.003,,85,,,,13,3d6(5D)4d,6D,"L18349,L18361c138"
,,7/2,83 136.508,0.003,,78,,,,18,3d6(5D)4d,6D,"L18349,L18361c138"
,,5/2,83 308.241,0.003,,81,,,,15,3d6(5D)4d,6D,"L18349,L18361c138"
,,3/2,83 459.721,0.003,,90,,,,9,3d6(5D)4d,6D,"L18349,L18361c138"
,,1/2,83 558.569,0.003,,97,,,,2,3d6(5D)4d,6D,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1F)4p,v 2G°,7/2,83 305.229,0.004,,92,,,,2,3d6(3F1)4p,2G°,"L18349,L18361c138"
,,9/2,83 871.208,0.004,,94,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4d,6D,7/2,83 713.583,0.003,,45,,,,37,3d6(5D)4d,6P,"L18349,L18361c138"
,,9/2,83 726.416,0.003,,87,,,,12,3d6(5D)4d,6F,"L18349,L18361c138"
,,5/2,83 812.352,0.003,,41,3d6(5D)4d,6P,,41,3d6(5D)4d,6D,"L18349,L18361c138"
,,3/2,83 990.106,0.003,,63,,,,28,3d6(5D)4d,6P,"L18349,L18361c138"
,,1/2,84 131.624,0.003,,97,,,,2,3d6(5D)4d,6F,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1F)4p,v 2D°,5/2,83 868.450,0.005,,84,,,,4,3d6(1D2)4p,2D°,"L18349,L18361c138"
,,3/2,84 359.779,0.005,,87,,,,2,3d6(1D2)4p,2D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4d,e 6G,13/2,84 035.172,0.003,,100,,,,,,,"L18349,L18361c138"
,,11/2,84 296.881,0.003,1.33,91,,,,7,3d6(5D)4d,4G,"L18349,L18361c138"
,,9/2,84 527.806,0.003,,92,,,,5,3d6(5D)4d,4G,"L18349,L18361c138"
,,7/2,84 710.749,0.003,,92,,,,3,3d6(5D)4d,4D,"L18349,L18361c138"
,,5/2,84 844.866,0.003,,95,,,,3,3d6(5D)4d,4D,"L18349,L18361c138"
,,3/2,84 938.265,0.003,,99,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4d,6P,7/2,84 266.594,0.003,,57,,,,34,3d6(5D)4d,6D,"L18349,L18361c138"
,,5/2,84 326.967,0.003,,47,,,,42,3d6(5D)4d,6D,"L18349,L18361c138"
,,3/2,84 424.422,0.003,,70,,,,28,3d6(5D)4d,6D,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4d,f 4D,7/2,84 685.245,0.003,,88,,,,4,3d6(5D)4d,6P,"L18349,L18361c138"
,,5/2,84 870.911,0.003,,92,,,,3,3d6(5D)4d,6G,"L18349,L18361c138"
,,3/2,85 048.655,0.003,,97,,,,,,,"L18349,L18361c138"
,,1/2,85 172.826,0.004,,99,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4d,e 4G,11/2,84 863.382,0.003,1.27,92,,,,7,3d6(5D)4d,6G,"L18349,L18361c138"
,,9/2,85 184.773,0.003,,90,,,,5,3d6(5D)4d,6G,"L18349,L18361c138"
,,7/2,85 462.907,0.004,,93,,,,3,3d6(5D)4d,4F,"L18349,L18361c138"
,,5/2,85 679.755,0.004,,96,,,,2,3d6(5D)4d,4F,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4d,6S,5/2,85 495.366,0.004,,91,,,,8,3d6(5D)4d,6P,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4d,4S,3/2,85 728.846,0.004,,97,,,,2,3d6(5D)4d,4P,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4d,e 4F,9/2,86 124.348,0.004,1.29,92,,,,4,3d6(5D)4d,4G,"L18349,L18361c138"
,,7/2,86 416.370,0.004,,90,,,,4,3d6(5D)4d,4G,"L18349,L18361c138"
,,5/2,86 599.791,0.004,,92,,,,2,3d6(5D)4d,4G,"L18349,L18361c138"
,,3/2,86 710.911,0.004,,95,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3P1)4p,v 4D°,1/2,86 388.786,0.014,,36,3d6(3F1)4p,4D°,,34,3d6(3P1)4p,4D°,"L18349,L18361c138"
,,3/2,86 543.902,0.008,,38,3d6(3F1)4p,4D°,,32,3d6(3P1)4p,4D°,"L18349,L18361c138"
,,5/2,86 767.614,0.004,,37,3d6(3F1)4p,4D°,,27,3d6(3P1)4p,4D°,"L18349,L18361c138"
,,7/2,86 929.664,0.005,,43,3d6(3F1)4p,4D°,,23,3d6(3P1)4p,4D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1F)4p,u 2F°,7/2,86 482.560,0.004,,84,,,,4,3d6(3F1)4p,4D°,"L18349,L18361c138"
,,5/2,86 547.427,0.005,,84,,,,4,3d6(3F1)4p,4D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4G)4s4p(3P°),y 6F°,11/2,87 340.882,0.004,,86,3d54s(5G)4p,6F°,,6,3d54s(5F)4p,6F°,"L18349,L18361c138"
,,9/2,87 471.789,0.004,,81,3d54s(5G)4p,6F°,,6,3d54s(5F)4p,6F°,"L18349,L18361c138"
,,7/2,87 537.646,0.004,,70,3d54s(5G)4p,6F°,,10,3d54s(5P)4p,6D°,"L18349,L18361c138"
,,5/2,87 572.959,0.004,,51,3d54s(5G)4p,6F°,,27,3d54s(5P)4p,6D°,"L18349,L18361c138"
,,1/2,87 898.178,0.005,,74,3d54s(5G)4p,6F°,,10,3d54s(5P)4p,6D°,"L18349,L18361c138"
,,3/2,87 965.137,0.004,,55,3d54s(5G)4p,6F°,,30,3d54s(5P)4p,6D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4P)4s4p(3P°),6D°,3/2,87 602.335,0.005,,50,3d54s(5P)4p,6D°,,29,3d54s(5G)4p,6F°,"L18349,L18361c138"
,,1/2,87 636.30,0.04,,72,3d54s(5P)4p,6D°,,14,3d54s(5D)4p,6D°,"L18349,L18361c138"
,,5/2,88 059.304,0.004,,41,3d54s(5P)4p,6D°,,25,3d54s(5G)4p,6F°,"L18349,L18361c138"
,,7/2,88 209.461,0.004,,61,3d54s(5P)4p,6D°,,14,3d54s(5G)4p,6F°,"L18349,L18361c138"
,,9/2,88 614.523,0.004,,78,3d54s(5P)4p,6D°,,13,3d54s(5D)4p,6D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4d,4P,5/2,87 985.667,0.004,,96,,,,,,,"L18349,L18361c138"
,,3/2,88 157.176,0.004,,93,,,,2,3d6(5D)4d,4S,"L18349,L18361c138"
,,1/2,88 189.066,0.004,,96,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)5p,6D°,9/2,88 723.398,0.004,,97,,,,,,,"L18349,L18361c138"
,,7/2,88 853.535,0.004,,60,,,,13,3d6(5D)5p,6P°,"L18349,L18361c138"
,,5/2,89 119.452,0.004,,78,,,,7,3d54s(5P)4p,6P°,"L18349,L18361c138"
,,3/2,89 331.199,0.004,,89,,,,4,3d54s(5P)4p,6P°,"L18349,L18361c138"
,,1/2,89 471.372,0.004,,99,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4P)4s4p(3P°),6P°,7/2,89 128.569,0.004,,35,3d6(5D)5p,6D°,,28,3d54s(5P)4p,6P°,"L18349,L18361c138"
,,5/2,89 444.455,0.004,,42,3d54s(5P)4p,6P°,,20,3d54s(5D)4p,6P°,"L18349,L18361c138"
,,3/2,89 625.951,0.004,,51,3d54s(5P)4p,6P°,,20,3d54s(5D)4p,6P°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3F1)4p,4G°,5/2,89 727.383,0.004,,77,,,,17,3d6(3F2)4p,4G°,"L18349,L18361c138"
,,7/2,89 890.396,0.005,,76,,,,17,3d6(3F2)4p,4G°,"L18349,L18361c138"
,,9/2,90 067.357,0.004,,62,3d6(3F1)4p,4G°,,14,3d6(3F2)4p,4G°,"L18349,L18361c138"
,,11/2,90 211.613,0.004,,75,,,,18,3d6(3F2)4p,4G°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)5p,6F°,11/2,89 924.150,0.004,,95,,,,,,,"L18349,L18361c138"
,,7/2,90 300.628,0.004,,40,,,,30,3d6(5D)5p,4F°,"L18349,L18361c138"
,,9/2,90 386.533,0.004,,48,3d6(5D)5p,6F°,,47,3d6(5D)5p,4F°,"L18349,L18361c138"
,,5/2,90 487.827,0.004,,81,,,,11,3d6(5D)5p,4F°,"L18349,L18361c138"
,,3/2,90 593.511,0.004,,87,,,,5,3d54s(5D)4p,6F°,"L18349,L18361c138"
,,1/2,90 648.230,0.004,,90,,,,6,3d54s(5D)4p,6F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)5p,4F°,9/2,90 042.804,0.004,,41,3d6(5D)5p,4F°,,36,3d6(5D)5p,6F°,"L18349,L18361c138"
,,7/2,90 780.623,0.004,,65,,,,20,3d6(5D)5p,6F°,"L18349,L18361c138"
,,5/2,91 070.566,0.004,,53,,,,22,3d6(5D)5p,4D°,"L18349,L18361c138"
,,3/2,91 208.892,0.004,,67,,,,18,3d6(5D)5p,4D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)5p,4D°,7/2,90 397.873,0.004,,64,,,,32,3d6(5D)5p,6F°,"L18349,L18361c138"
,,5/2,90 638.823,0.004,,68,,,,16,3d6(5D)5p,4P°,"L18349,L18361c138"
,,3/2,90 898.878,0.004,,56,3d6(5D)5p,4D°,,15,3d6(5D)5p,4P°,"L18349,L18361c138"
,,1/2,91 199.776,0.004,,92,,,,2,3d6(3F1)4p,4D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3P1)4p,4S°,3/2,90 629.811,0.005,,49,,,,23,3d6(3P2)4p,4S°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3P1)4p,4P°,1/2,90 839.488,0.004,,34,,,,27,3d6(5D)5p,4P°,"L18349,L18361c138"
,,5/2,92 274.123,0.004,,17,,,,15,3d6(3F1)4p,4F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)5p,4P°,5/2,90 901.130,0.004,,48,,,,22,3d6(5D)5p,4F°,"L18349,L18361c138"
,,3/2,92 225.549,0.004,,50,,,,19,3d6(3P1)4p,4P°,"L18349,L18361c138"
,,1/2,92 314.764,0.004,,69,,,,14,3d6(3P1)4p,4P°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3P1)5p,4P°,3/2,91 048.225,0.004,,22,3d6(5D)5p,4P°,,19,3d6(5D)5p,4D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)5p,w 6P°,7/2,91 167.936,0.004,,71,,,,16,3d54s(5P)4p,6P°,"L18349,L18361c138"
,,5/2,91 575.149,0.004,,74,,,,16,3d54s(5P)4p,6P°,"L18349,L18361c138"
,,3/2,91 843.485,0.004,,74,,,,17,3d54s(5P)4p,6P°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4D)4s4p(3P°),6F°,1/2,91 850.584,0.004,,84,3d54s(5D)4p,6F°,,10,3d54s(5G)4p,6F°,"L18349,L18361c138"
,,3/2,91 915.570,0.004,,84,3d54s(5D)4p,6F°,,9,3d54s(5G)4p,6F°,"L18349,L18361c138"
,,5/2,92 018.727,0.004,,86,3d54s(5D)4p,6F°,,8,3d54s(5G)4p,6F°,"L18349,L18361c138"
,,7/2,92 154.154,0.004,,85,3d54s(5D)4p,6F°,,7,3d54s(5G)4p,6F°,"L18349,L18361c138"
,,9/2,92 300.269,0.004,,89,3d54s(5D)4p,6F°,,6,3d54s(5G)4p,6F°,"L18349,L18361c138"
,,11/2,92 432.098,0.004,,93,3d54s(5D)4p,6F°,,5,3d54s(5G)4p,6F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4G)4s4p(3P°),x 4H°,7/2,92 089.043,0.027,,51,3d5(4G)4s(3G)4p,4H°,,44,3d54s(5G)4p,4H°,"L18349,L18361c138"
,,9/2,92 116.529,0.007,,42,3d5(4G)4s(3G)4p,4H°,,37,3d54s(5G)4p,4H°,"L18349,L18361c138"
,,11/2,92 166.417,0.005,,50,3d5(4G)4s(3G)4p,4H°,,45,3d54s(5G)4p,4H°,"L18349,L18361c138"
,,13/2,92 249.889,0.005,,50,3d5(4G)4s(3G)4p,4H°,,47,3d54s(5G)4p,4H°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3F1)4p,u 2G°,9/2,92 171.690,0.004,,30,,,,14,3d6(3F1)4p,4F°,"L18349,L18361c138"
,,7/2,92 602.711,0.004,,64,,,,16,3d6(3F2)4p,2G°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3P1)4p,u 2D°,3/2,92 216.391,0.004,,31,3d6(3F1)4p,2D°,,20,3d6(3P1)4p,2D°,"L18349,L18361c138"
,,5/2,92 695.398,0.007,,30,3d6(3F1)4p,2D°,,12,3d6(3P1)4p,2D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4G)4s4p(3P°),v 4F°,7/2,92 282.470,0.004,,28,3d54s(5G)4p,4F°,,26,3d6(3F1)4p,4F°,"L18349,L18361c138"
,,5/2,92 329.905,0.004,,17,3d6(3P1)4p,4P°,,17,3d54s(5G)4p,4F°,"L18349,L18361c138"
,,3/2,92 358.625,0.004,,26,3d6(3F1)4p,4F°,,18,3d54s(5G)4p,4F°,"L18349,L18361c138"
,,9/2,92 426.967,0.004,,32,3d6(3F1)4p,2G°,,24,3d54s(5G)4p,4F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3F1)4p,4D°,1/2,92 453.365,0.005,,38,,,,25,3d6(3P1)4p,4D°,"L18349,L18361c138"
,,3/2,92 647.591,0.004,,33,,,,24,3d6(3P1)4p,4D°,"L18349,L18361c138"
,,5/2,92 899.306,0.004,,19,3d6(3F1)4p,2D°,,18,3d6(3F1)4p,4D°,"L18349,L18361c138"
,,7/2,93 129.879,0.006,,27,3d6(3P1)4p,4D°,,22,3d6(3F1)4p,4D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3F1)4p,u 4F°,3/2,93 328.553,0.005,,33,,,,24,3d5(4G)4s(3G)4p,4F°,"L18349,L18361c138"
,,5/2,93 395.407,0.034,,38,,,,20,3d5(4G)4s(3G)4p,4F°,"L18349,L18361c138"
,,9/2,93 484.602,0.006,,47,,,,18,3d6(3F2)4p,4F°,"L18349,L18361c138"
,,7/2,93 487.653,0.004,,36,,,,14,3d6(3F2)4p,4F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4D)4s4p(3P°),6D°,5/2,93 830.961,0.004,,32,3d54s(5D)4p,6D°,,18,3d54s(5D)4p,6P°,"L18349,L18361c138"
,,3/2,93 840.405,0.004,,29,3d54s(5D)4p,6D°,,28,3d54s(5D)4p,6P°,"L18349,L18361c138"
,,7/2,93 987.454,0.004,,59,3d54s(5D)4p,6D°,,16,3d54s(5D)4p,6P°,"L18349,L18361c138"
,,1/2,94 031.370,0.004,,41,3d54s(5D)4p,6D°,,19,3d54s(5P)4p,4P°,"L18349,L18361c138"
,,9/2,94 057.727,0.004,,76,3d54s(5D)4p,6D°,,15,3d54s(5P)4p,6D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4G)4s4p(3P°),w 4G°,5/2,93 988.181,0.004,,59,3d5(4G)4s(3G)4p,4G°,,31,3d54s(5G)4p,4G°,"L18349,L18361c138"
,,7/2,94 073.296,0.004,,59,3d5(4G)4s(3G)4p,4G°,,31,3d54s(5G)4p,4G°,"L18349,L18361c138"
,,9/2,94 148.39,0.02,,57,3d5(4G)4s(3G)4p,4G°,,30,3d54s(5G)4p,4G°,"L18349,L18361c138"
,,11/2,94 189.536,0.017,,60,3d5(4G)4s(3G)4p,4G°,,32,3d54s(5G)4p,4G°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4P)4s4p(3P°),4P°,5/2,94 211.383,0.004,,23,3d54s(5P)4p,4P°,,21,3d5(4P)4s(3P)4p,4P°,"L18349,L18361c138"
,,3/2,94 739.136,0.004,,37,3d54s(5D)4p,6D°,,10,3d54s(5P)4p,4P°,"L18349,L18361c138"
,,1/2,94 880.585,0.019,,37,3d54s(5D)4p,6D°,,20,3d54s(5P)4p,4P°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4D)4s4p(3P°),6P°,5/2,94 685.083,0.004,,37,3d54s(5D)4p,6D°,,31,3d54s(5D)4p,6P°,"L18349,L18361c138"
,,7/2,94 763.218,0.004,,46,3d54s(5D)4p,6P°,,28,3d54s(5P)4p,6P°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3F1)4p,2D°,5/2,94 700.415,0.004,,35,3d6(3P1)4p,2D°,,27,3d6(3F1)4p,2D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3F1)4p,2F°,5/2,95 046.177,0.005,,60,,,,19,3d6(3F2)4p,2F°,"L18349,L18361c138"
,,7/2,95 079.342,0.005,,57,,,,19,3d6(3F2)4p,2F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4P)4s4p(3P°),4D°,1/2,95 767.572,0.007,,50,3d5(4P)4s(3P)4p,4D°,,35,3d54s(5P)4p,4D°,"L18349,L18361c138"
,,3/2,95 858.270,0.005,,49,3d5(4P)4s(3P)4p,4D°,,35,3d54s(5P)4p,4D°,"L18349,L18361c138"
,,5/2,95 995.817,0.005,,48,3d5(4P)4s(3P)4p,4D°,,36,3d54s(5P)4p,4D°,"L18349,L18361c138"
,,7/2,96 217.720,0.004,,48,3d5(4P)4s(3P)4p,4D°,,39,3d54s(5P)4p,4D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4G)4s4p(3P°),2H°,11/2,96 062.057,0.006,,97,3d5(4G)4s(3G)4p,2H°,,,,,"L18349,L18361c138"
,,9/2,96 239.416,0.005,,97,3d5(4G)4s(3G)4p,2H°,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4G)4s4p(3P°),t 2F°,5/2,96 279.234,0.006,,76,3d5(4G)4s(3G)4p,2F°,,8,3d6(3F1)4p,2F°,"L18349,L18361c138"
,,7/2,96 356.551,0.006,,76,3d5(4G)4s(3G)4p,2F°,,8,3d6(3F1)4p,2F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4P)4s4p(3P°),2P°,3/2,97 326.503,0.005,,59,3d5(4P)4s(3P)4p,2P°,,16,3d5(4D)4s(3D)4p,2P°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3P2)5s,4P,5/2,97 507.414,0.004,,61,,,,39,3d6(3P1)5s,4P,"L18349,L18361c138"
,,3/2,98 114.577,0.004,,32,,,,29,3d6(3P2)5s,2P,"L18349,L18361c138"
,,1/2,99 057.089,0.004,,56,,,,35,3d6(3P1)5s,4P,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1G1)4p,2H°,9/2,97 851.332,0.007,,61,,,,34,3d6(1G2)4p,2H°,"L18349,L18361c138"
,,11/2,98 278.852,0.004,,62,,,,34,3d6(1G2)4p,2H°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3H)5s,e 4H,13/2,98 130.136,0.004,,100,,,,,,,"L18349,L18361c138"
,,11/2,98 294.909,0.004,,97,,,,2,3d6(3H)5s,2H,"L18349,L18361c138"
,,9/2,98 445.410,0.004,,97,,,,,,,"L18349,L18361c138"
,,7/2,98 568.907,0.004,,98,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4D)4s4p(3P°),4F°,3/2,98 196.137,0.005,,49,3d5(4D)4s(3D)4p,4F°,,38,3d54s(5D)4p,4F°,"L18349,L18361c138"
,,5/2,98 354.656,0.004,,48,3d5(4D)4s(3D)4p,4F°,,38,3d54s(5D)4p,4F°,"L18349,L18361c138"
,,7/2,98 536.011,0.004,,32,3d5(4D)4s(3D)4p,4F°,,27,3d54s(5D)4p,4F°,"L18349,L18361c138"
,,9/2,98 596.488,0.009,,49,3d5(4D)4s(3D)4p,4F°,,42,3d54s(5D)4p,4F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4P)4s4p(3P°),4S°,3/2,98 338.357,0.004,,54,3d5(4P)4s(3P)4p,4S°,,23,3d54s(5P)4p,4S°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4D)4s4p(3P°),4D°,7/2,98 391.320,0.007,,29,3d5(4D)4s(3D)4p,4D°,,28,3d54s(5D)4p,4D°,"L18349,L18361c138"
,,5/2,98 505.022,0.004,,42,3d5(4D)4s(3D)4p,4D°,,40,3d54s(5D)4p,4D°,"L18349,L18361c138"
,,3/2,98 770.295,0.018,,34,3d5(4D)4s(3D)4p,4D°,,33,3d54s(5D)4p,4D°,"L18349,L18361c138"
,,1/2,99 007.677,0.004,,32,3d5(4D)4s(3D)4p,4D°,,31,3d54s(5D)4p,4D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1G1)4p,2F°,7/2,98 898.591,0.008,,44,,,,23,3d6(1G2)4p,2F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3P2)5s,2P,3/2,99 068.465,0.004,,32,,,,30,3d6(3P2)5s,4P,"L18349,L18361c138"
,,1/2,99 921.670,0.004,,56,,,,35,3d6(3P1)5s,2P,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3F2)5s,f 4F,9/2,99 573.244,0.004,,61,,,,19,3d6(3H)5s,2H,"L18349,L18361c138"
,,7/2,99 688.355,0.004,,75,,,,20,3d6(3F1)5s,4F,"L18349,L18361c138"
,,5/2,99 824.051,0.004,,78,,,,20,3d6(3F1)5s,4F,"L18349,L18361c138"
,,3/2,99 918.563,0.004,,80,,,,20,3d6(3F1)5s,4F,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4G)4s4p(3P°),2G°,7/2,99 635.420,0.004,,55,3d5(4G)4s(3G)4p,2G°,,21,3d6(1G1)4p,2G°,"L18349,L18361c138"
,,9/2,99 757.211,0.010,,81,3d5(4G)4s(3G)4p,2G°,,9,3d6(1G1)4p,2G°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1G1)4p,2G°,9/2,99 653.257,0.015,,54,,,,25,3d6(1G2)4p,2G°,L18349
,,7/2,99 808.549,0.007,,39,3d5(4G)4s(3G)4p,2G°,,30,3d6(1G1)4p,2G°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4P)4s4p(3P°),2D°,5/2,100 400.48,0.03,,79,3d5(4P)4s(3P)4p,2D°,,8,3d5(4D)4s(3D)4p,2D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3F2)5s,e 2F,7/2,100 492.025,0.004,,74,,,,21,3d6(3F1)5s,2F,"L18349,L18361c138"
,,5/2,100 749.825,0.004,,77,,,,20,3d6(3F1)5s,2F,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4D)4s4p(3P°),4P°,1/2,101 402.37,0.03,,42,3d5(4D)4s(3D)4p,4P°,,30,3d54s(5D)4p,4P°,"L18349,L18361c138"
,,3/2,101 573.977,0.015,,40,3d5(4D)4s(3D)4p,4P°,,28,3d54s(5D)4p,4P°,"L18349,L18361c138"
,,5/2,101 706.498,0.014,,38,3d5(4D)4s(3D)4p,4P°,,25,3d54s(5D)4p,4P°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)6s,6D,9/2,101 698.519,0.004,,100,,,,,,,"L18349,L18361c138"
,,7/2,102 030.965,0.004,,85,,,,15,3d6(5D)6s,4D,"L18349,L18361c138"
,,5/2,102 334.140,0.004,,93,,,,7,3d6(5D)6s,4D,"L18349,L18361c138"
,,3/2,102 543.689,0.004,,97,,,,3,3d6(5D)6s,4D,"L18349,L18361c138"
,,1/2,102 666.741,0.004,,99,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(2I)4s4p(3P°),4K°,11/2,102 340.464,0.006,,83,3d54s(3I)4p,4K°,,15,3d54s(3I)4p,4I°,"L18349,L18361c138"
,,13/2,102 490.116,0.005,,73,3d54s(3I)4p,4K°,,25,3d54s(3I)4p,4I°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)6s,4D,7/2,102 394.764,0.004,,85,,,,15,3d6(5D)6s,6D,"L18349,L18361c138"
,,5/2,102 802.353,0.004,,89,,,,6,3d6(5D)6s,6D,"L18349,L18361c138"
,,3/2,103 118.421,0.004,,96,,,,3,3d6(5D)6s,6D,"L18349,L18361c138"
,,1/2,103 265.738,0.004,,99,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(4D)4s4p(3P°),2D°,5/2,102 449.14,0.05,,74,3d5(4D)4s(3D)4p,2D°,,9,3d5(4P)4s(3P)4p,2D°,"L18349,L18361c138"
,,3/2,102 503.71,0.05,,83,3d5(4D)4s(3D)4p,2D°,,8,3d5(4F)4s(3F)4p,2D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3G)5s,f 4G,11/2,102 584.984,0.004,,98,,,,,,,"L18349,L18361c138"
,,9/2,102 824.994,0.004,,92,,,,5,3d6(3G)5s,2G,"L18349,L18361c138"
,,7/2,103 039.222,0.004,,95,,,,,,,"L18349,L18361c138"
