Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5d6.6s.(6D<1/2>).6p,"(1/2,1/2)*",0,,60511.37,,0.14,,                                        ,L4457
,6147*,3,,61474.19,,0.08,,                                        ,L4457
,6148*,4,,61490.05,,0.08,,                                        ,L4457
,6197*,5,,61970.06,,0.08,1.07,                                        ,L4457
,6273*,4,,62734.01,,0.09,1.17,                                        ,L4457
,6376*,2,,63765.19,,0.09,,                                        ,L4457
,6420*,3,,64208.67,,0.10,,                                        ,L4457
,6454*,3,,64540.26,,0.12,,                                        ,L4457
,6516*,5,,65168.16,,0.11,,                                        ,L4457
,6520*,1,,65202.26,,0.10,1.24,                                        ,L4457
,6548*,3,,65481.77,,0.09,,                                        ,L4457
,6580*,2,,65805.22,,0.09,,                                        ,L4457
,6654*,6,,66544.72,,0.16,,                                        ,L4457
,6678*,5,,66785.16,,0.16,,                                        ,L4457
,6690*,3,,66909.12,,0.09,,                                        ,L4457
,7311*,4,,73110.39,,0.13,,                                        ,L4457
Ir III (5d7 4F<9/2>),Limit,---,[,137100,],2400,,                                        ,L16139
