Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
5d8,3F,4,,0,,0,L8672
Pt IV (5d7 4F<9/2>),Limit,---,(,234000,),13000,L8672c99
